"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR303MJE","ENCFF600TUH","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-usp","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF600TUH/@@download/ENCFF600TUH.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF927APK/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","e2ff898c3bc846d1fd4a5f97ddb7ee0b"
"ENCSR303MJE","ENCFF986CIT","bigWig","bigWig","16.8 Mb","signal","signal of unique reads","eGFP-usp","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF986CIT/@@download/ENCFF986CIT.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF151CTD/; /files/ENCFF194XTM/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","497612de8cf7d1a1634062a16cd25f2d"
"ENCSR303MJE","ENCFF487IDX","bigWig","bigWig","14.2 Mb","signal","signal of unique reads","eGFP-usp","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS373LOV/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB739RLK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF487IDX/@@download/ENCFF487IDX.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF154TWD/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","b122f4562a882e4946bf3987ee7ae386"
"ENCSR303MJE","ENCFF633TNQ","bigWig","bigWig","16.8 Mb","signal","read-depth normalized signal","eGFP-usp","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF633TNQ/@@download/ENCFF633TNQ.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF194XTM/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","6987eb4f9fbbd4f4b3bc6f99e2203f37"
"ENCSR303MJE","ENCFF313PYQ","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-usp","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF313PYQ/@@download/ENCFF313PYQ.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF151CTD/; /files/ENCFF194XTM/; /files/ENCFF041PWK/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","0366cad5fe93549d96568402daf870da"
"ENCSR303MJE","ENCFF381WSM","bigWig","bigWig","14.8 Mb","signal","read-depth normalized signal","eGFP-usp","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF381WSM/@@download/ENCFF381WSM.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF154TWD/; /files/ENCFF927APK/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","43126ae93b89ee2837ce70c8836091a5"
"ENCSR303MJE","ENCFF613CBM","bigWig","bigWig","15.2 Mb","signal","control normalized signal","eGFP-usp","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF613CBM/@@download/ENCFF613CBM.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF154TWD/; /files/ENCFF927APK/; /files/ENCFF003ABI/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","eafc3a06eea2d85cccad7c8e7a5c68a8"
"ENCSR303MJE","ENCFF664CWW","bigWig","bigWig","16.1 Mb","signal","signal of unique reads","eGFP-usp","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS373LOV/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB739RLK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF664CWW/@@download/ENCFF664CWW.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF151CTD/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","f261b30be3878ee34f67d9fb9488de55"
"ENCSR303MJE","ENCFF672FET","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-usp","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS373LOV/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB739RLK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF672FET/@@download/ENCFF672FET.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF151CTD/; /files/ENCFF041PWK/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","1a6755aaacae9e70c6a6ee7a3ab598ea"
"ENCSR303MJE","ENCFF211KLS","bigWig","bigWig","16.8 Mb","signal","read-depth normalized signal","eGFP-usp","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS675TYA/","whole organisms","whole organism","VK00033 whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-usp in Drosophila whole organisms (embryonic, 0-12 hour)","ENCLB840EWG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR396VOB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF211KLS/@@download/ENCFF211KLS.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR303MJE/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF151CTD/; /files/ENCFF194XTM/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","8b5ad8ffdcd73414e31a256a99f200cd"
