"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR518MQL","ENCFF971SCB","bigWig","bigWig","16.3 Mb","signal","read-depth normalized signal","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS917VVD/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB071SHM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF971SCB/@@download/ENCFF971SCB.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF788LHA/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","2b8484454dd4d2d68f7c0fb140b931a5"
"ENCSR518MQL","ENCFF637QJC","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS917VVD/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB071SHM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF637QJC/@@download/ENCFF637QJC.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF788LHA/; /files/ENCFF854HCM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","ab7fd1e89150496daf4ad792cb988052"
"ENCSR518MQL","ENCFF526TVW","bigWig","bigWig","16.3 Mb","signal","read-depth normalized signal","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS095RPJ/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF526TVW/@@download/ENCFF526TVW.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF595WBB/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","59d48599b0496a77352fab7d4a0324ec"
"ENCSR518MQL","ENCFF680FFM","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Hnf4","chromatin remodeler; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS917VVD/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF680FFM/@@download/ENCFF680FFM.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF595WBB/; /files/ENCFF788LHA/; /files/ENCFF854HCM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","e24de6a2c0e307dab4fb4884f6716b2b"
"ENCSR518MQL","ENCFF368BBT","bigWig","bigWig","16.5 Mb","signal","signal of unique reads","eGFP-Hnf4","chromatin remodeler; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS917VVD/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF368BBT/@@download/ENCFF368BBT.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF595WBB/; /files/ENCFF788LHA/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","c5a065e816999d2aeca17143c8c835da"
"ENCSR518MQL","ENCFF523AQI","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS095RPJ/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF523AQI/@@download/ENCFF523AQI.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF595WBB/; /files/ENCFF854HCM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","ea480d5bbc7cb464e7b921e9ef57bcd1"
"ENCSR518MQL","ENCFF775VZE","bigWig","bigWig","16.3 Mb","signal","signal of unique reads","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS917VVD/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB071SHM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF775VZE/@@download/ENCFF775VZE.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF788LHA/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","f5beca92030d8d6550343941a50268d7"
"ENCSR518MQL","ENCFF953GVO","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Hnf4","chromatin remodeler; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS917VVD/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF953GVO/@@download/ENCFF953GVO.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF595WBB/; /files/ENCFF788LHA/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","9fe908e1b8437ca8b1a9a9a7f59c4402"
"ENCSR518MQL","ENCFF012SEL","bigWig","bigWig","16.3 Mb","signal","signal of unique reads","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS095RPJ/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF012SEL/@@download/ENCFF012SEL.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF595WBB/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","a8136db06a8c6f4f93a425bb6e4d97f1"
"ENCSR518MQL","ENCFF288RHZ","bigWig","bigWig","14.4 Mb","signal","signal of unique reads","eGFP-Hnf4","chromatin remodeler; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS095RPJ/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hnf4-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB378HWO",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR986ULH",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF288RHZ/@@download/ENCFF288RHZ.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR518MQL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF361OEE/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","58c1b47c475570b29cc905b81122d9ce"
