"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR245UCO","ENCFF654FGQ","bigWig","bigWig","16.2 Mb","signal","read-depth normalized signal","eGFP-GATAd","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF654FGQ/@@download/ENCFF654FGQ.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF918HZL/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","e770adb1fba676dd56de53eb135eaaa5"
"ENCSR245UCO","ENCFF637SEO","bigWig","bigWig","16.4 Mb","signal","control normalized signal","eGFP-GATAd","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF637SEO/@@download/ENCFF637SEO.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF918HZL/; /files/ENCFF741JHT/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","82f1797ac3c59f232e94258755379f19"
"ENCSR245UCO","ENCFF404FZK","bigWig","bigWig","16.4 Mb","signal","control normalized signal","eGFP-GATAd","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS138OWX/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB316LYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF404FZK/@@download/ENCFF404FZK.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF487GCM/; /files/ENCFF741JHT/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","cc0db54d4588f904a9f56817dee434c9"
"ENCSR245UCO","ENCFF565HVL","bigWig","bigWig","16.4 Mb","signal","control normalized signal","eGFP-GATAd","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF565HVL/@@download/ENCFF565HVL.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF918HZL/; /files/ENCFF487GCM/; /files/ENCFF741JHT/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","28c69ebad6e0d790d2053a04a69d9c97"
"ENCSR245UCO","ENCFF717PHP","bigWig","bigWig","16.2 Mb","signal","signal of unique reads","eGFP-GATAd","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF717PHP/@@download/ENCFF717PHP.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF918HZL/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","49fe6de67dd997d520fcf6c6d1931f07"
"ENCSR245UCO","ENCFF178POE","bigWig","bigWig","16.5 Mb","signal","signal of unique reads","eGFP-GATAd","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF178POE/@@download/ENCFF178POE.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF918HZL/; /files/ENCFF487GCM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","f7c41ce3912895aacd46c8511e7a1e74"
"ENCSR245UCO","ENCFF312CFX","bigWig","bigWig","16.5 Mb","signal","read-depth normalized signal","eGFP-GATAd","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF312CFX/@@download/ENCFF312CFX.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF918HZL/; /files/ENCFF487GCM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","83dfc919e1717888a70fbb0dc2b205a5"
"ENCSR245UCO","ENCFF771CBY","bigWig","bigWig","14.4 Mb","signal","signal of unique reads","eGFP-GATAd","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS138OWX/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB316LYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF771CBY/@@download/ENCFF771CBY.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF847TDK/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","c126c218cce7cf9a64769704d051d23d"
"ENCSR245UCO","ENCFF512POG","bigWig","bigWig","16.4 Mb","signal","signal of unique reads","eGFP-GATAd","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS138OWX/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB316LYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF512POG/@@download/ENCFF512POG.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF487GCM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","db3a015271c19b43be37dde0b0fb9cf8"
"ENCSR245UCO","ENCFF307FLW","bigWig","bigWig","15 Mb","signal","control normalized signal","eGFP-GATAd","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS011LYH/","whole organisms","whole organism","VK00033 whole organism wandering third instar larva genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing GATAd-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB338PKD",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR854PLB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF307FLW/@@download/ENCFF307FLW.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR245UCO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF593EHH/; /files/ENCFF847TDK/; /files/ENCFF759RZA/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","68a8923f74d4a0ebaef75812324f0cee"
