"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071495","GO:0071495","cellular response to endogenous stimulus","4/14","230/11267",0.000144168599240464,0.052189032925048,0.0140922830966819,"ImpL2/sty/Sesn/Pi3K21B",4
"GO:0071417","GO:0071417","cellular response to organonitrogen compound","3/14","92/11267",0.000179687023153859,0.065046702381697,0.0140922830966819,"ImpL2/Sesn/Pi3K21B",3
"GO:1901699","GO:1901699","cellular response to nitrogen compound","3/14","97/11267",0.000210192604316164,0.0760897227624514,0.0140922830966819,"ImpL2/Sesn/Pi3K21B",3
"GO:0009719","GO:0009719","response to endogenous stimulus","4/14","262/11267",0.000238003003410628,0.0861570872346472,0.0140922830966819,"ImpL2/sty/Sesn/Pi3K21B",4
"GO:1902532","GO:1902532","negative regulation of intracellular signal transduction","3/14","119/11267",0.000384104665425247,0.139045888883939,0.014399637055493,"ImpL2/sty/Sesn",3
"GO:0071310","GO:0071310","cellular response to organic substance","4/14","308/11267",0.000441274746226886,0.159741458134133,0.014399637055493,"ImpL2/sty/Sesn/Pi3K21B",4
"GO:0009968","GO:0009968","negative regulation of signal transduction","4/14","327/11267",0.000553667890133797,0.200427776228435,0.014399637055493,"ImpL2/sty/Sesn/chrb",4
"GO:0007623","GO:0007623","circadian rhythm","3/14","146/11267",0.00069871994137245,0.252936618776827,0.014399637055493,"cwo/Irk1/B4",3
"GO:0010648","GO:0010648","negative regulation of cell communication","4/14","348/11267",0.000700301904635231,0.253509289477954,0.014399637055493,"ImpL2/sty/Sesn/chrb",4
"GO:0023057","GO:0023057","negative regulation of signaling","4/14","349/11267",0.000707910635182445,0.256263649936045,0.014399637055493,"ImpL2/sty/Sesn/chrb",4
"GO:0048511","GO:0048511","rhythmic process","3/14","148/11267",0.000726964767218801,0.263161245733206,0.014399637055493,"cwo/Irk1/B4",3
"GO:1901701","GO:1901701","cellular response to oxygen-containing compound","3/14","151/11267",0.000770687629235254,0.278988921783162,0.014399637055493,"ImpL2/Sesn/Pi3K21B",3
"GO:1902531","GO:1902531","regulation of intracellular signal transduction","4/14","364/11267",0.000829263143682283,0.300193258012986,0.014399637055493,"ImpL2/sty/Sesn/chrb",4
"GO:0010243","GO:0010243","response to organonitrogen compound","3/14","159/11267",0.000895414346250987,0.324139993342857,0.014399637055493,"ImpL2/Sesn/Pi3K21B",3
"GO:0010259","GO:0010259","multicellular organism aging","3/14","165/11267",0.000996942293995659,0.360893110426428,0.014399637055493,"ImpL2/Sesn/Pcyt1",3
"GO:1901698","GO:1901698","response to nitrogen compound","3/14","165/11267",0.000996942293995659,0.360893110426428,0.014399637055493,"ImpL2/Sesn/Pi3K21B",3
"GO:0007568","GO:0007568","aging","3/14","170/11267",0.00108693371303202,0.393470004117592,0.014399637055493,"ImpL2/Sesn/Pcyt1",3
"GO:0048585","GO:0048585","negative regulation of response to stimulus","4/14","392/11267",0.00109437241621747,0.396162814670723,0.014399637055493,"ImpL2/sty/Sesn/chrb",4
"GO:0007169","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","3/14","178/11267",0.0012413933323905,0.449384386325363,0.0151804604970626,"ImpL2/sty/Pi3K21B",3
"GO:0070887","GO:0070887","cellular response to chemical stimulus","4/14","409/11267",0.00128190555308528,0.464049810216873,0.0151804604970626,"ImpL2/sty/Sesn/Pi3K21B",4
"GO:0008286","GO:0008286","insulin receptor signaling pathway","2/14","59/11267",0.00235596267551639,0.852858488536932,0.0265710076186059,"ImpL2/Pi3K21B",2
"GO:0042067","GO:0042067","establishment of ommatidial planar polarity","2/14","61/11267",0.00251624687463364,0.910881368617379,0.0270887821431852,"sty/Pcyt1",2
"GO:0032006","GO:0032006","regulation of TOR signaling","2/14","63/11267",0.00268156417084419,0.970726229845597,0.0276133610269997,"Sesn/chrb",2
"GO:0031929","GO:0031929","TOR signaling","2/14","71/11267",0.00339271838562471,1,0.0311686434556701,"Sesn/chrb",2
"GO:0032869","GO:0032869","cellular response to insulin stimulus","2/14","72/11267",0.00348717896322735,1,0.0311686434556701,"ImpL2/Pi3K21B",2
"GO:0071375","GO:0071375","cellular response to peptide hormone stimulus","2/14","74/11267",0.00367978062336274,1,0.0311686434556701,"ImpL2/Pi3K21B",2
"GO:1901653","GO:1901653","cellular response to peptide","2/14","74/11267",0.00367978062336274,1,0.0311686434556701,"ImpL2/Pi3K21B",2
"GO:0007167","GO:0007167","enzyme linked receptor protein signaling pathway","3/14","262/11267",0.0037417183088027,1,0.0311686434556701,"ImpL2/sty/Pi3K21B",3
"GO:0032868","GO:0032868","response to insulin","2/14","76/11267",0.00387727131132268,1,0.0311686434556701,"ImpL2/Pi3K21B",2
"GO:0043434","GO:0043434","response to peptide hormone","2/14","78/11267",0.0040796291100866,1,0.0311686434556701,"ImpL2/Pi3K21B",2
"GO:1901652","GO:1901652","response to peptide","2/14","78/11267",0.0040796291100866,1,0.0311686434556701,"ImpL2/Pi3K21B",2
"GO:0001558","GO:0001558","regulation of cell growth","2/14","80/11267",0.00428683216818146,1,0.0317281986131852,"Orct2/Sesn",2
"GO:0043549","GO:0043549","regulation of kinase activity","2/14","94/11267",0.0058710990048309,1,0.0410040611733447,"sty/Pi3K21B",2
"GO:0040008","GO:0040008","regulation of growth","3/14","308/11267",0.00588636078177348,1,0.0410040611733447,"Orct2/Sesn/chrb",3
"GO:0006650","GO:0006650","glycerophospholipid metabolic process","2/14","103/11267",0.00701092904709403,1,0.0474423770104107,"Pi3K21B/Pcyt1",2
"GO:0001736","GO:0001736","establishment of planar polarity","2/14","108/11267",0.0076843450476598,1,0.0483500946113679,"sty/Pcyt1",2
"GO:0007164","GO:0007164","establishment of tissue polarity","2/14","108/11267",0.0076843450476598,1,0.0483500946113679,"sty/Pcyt1",2
"GO:0045926","GO:0045926","negative regulation of growth","2/14","109/11267",0.00782243262729355,1,0.0483500946113679,"Sesn/chrb",2
"GO:0051338","GO:0051338","regulation of transferase activity","2/14","110/11267",0.00796164891267191,1,0.0483500946113679,"sty/Pi3K21B",2
"GO:1901700","GO:1901700","response to oxygen-containing compound","3/14","350/11267",0.00838415507414025,1,0.0496430234653041,"ImpL2/Sesn/Pi3K21B",3
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","2/14","119/11267",0.00926495936733064,1,0.0535203044325904,"sty/Pcyt1",2
"GO:0032870","GO:0032870","cellular response to hormone stimulus","2/14","122/11267",0.00971934054202051,1,0.0548083113271833,"ImpL2/Pi3K21B",2
"GO:0035220","GO:0035220","wing disc development","3/14","375/11267",0.0101295009611701,1,0.0557928449513654,"sty/Irk1/Pcyt1",3
"GO:0006979","GO:0006979","response to oxidative stress","2/14","133/11267",0.0114692134158178,1,0.0575960379631344,"Sesn/chrb",2
"GO:0015695","GO:0015695","organic cation transport","1/14","10/11267",0.0123613291420243,1,0.0575960379631344,"Orct2",1
"GO:0040036","GO:0040036","regulation of fibroblast growth factor receptor signaling pathway","1/14","10/11267",0.0123613291420243,1,0.0575960379631344,"sty",1
"GO:0042594","GO:0042594","response to starvation","2/14","141/11267",0.0128231604495584,1,0.0575960379631344,"ImpL2/Sesn",2
"GO:0046486","GO:0046486","glycerolipid metabolic process","2/14","141/11267",0.0128231604495584,1,0.0575960379631344,"Pi3K21B/Pcyt1",2
"GO:0006644","GO:0006644","phospholipid metabolic process","2/14","142/11267",0.0129971432433162,1,0.0575960379631344,"Pi3K21B/Pcyt1",2
"GO:0010888","GO:0010888","negative regulation of lipid storage","1/14","11/11267",0.0135896263252887,1,0.0575960379631344,"ImpL2",1
"GO:0071230","GO:0071230","cellular response to amino acid stimulus","1/14","11/11267",0.0135896263252887,1,0.0575960379631344,"Sesn",1
"GO:0071901","GO:0071901","negative regulation of protein serine/threonine kinase activity","1/14","11/11267",0.0135896263252887,1,0.0575960379631344,"sty",1
"GO:1905953","GO:1905953","negative regulation of lipid localization","1/14","11/11267",0.0135896263252887,1,0.0575960379631344,"ImpL2",1
"GO:0016049","GO:0016049","cell growth","2/14","151/11267",0.0146097138536656,1,0.0575960379631344,"Orct2/Sesn",2
"GO:0045314","GO:0045314","regulation of compound eye photoreceptor development","1/14","12/11267",0.0148165048995114,1,0.0575960379631344,"sty",1
"GO:1902882","GO:1902882","regulation of response to oxidative stress","1/14","12/11267",0.0148165048995114,1,0.0575960379631344,"Sesn",1
"GO:0009725","GO:0009725","response to hormone","2/14","154/11267",0.0151657359480122,1,0.0575960379631344,"ImpL2/Pi3K21B",2
"GO:0040007","GO:0040007","growth","3/14","437/11267",0.0153304380781681,1,0.0575960379631344,"Orct2/Sesn/chrb",3
"GO:0042478","GO:0042478","regulation of eye photoreceptor cell development","1/14","13/11267",0.0160419663772017,1,0.0575960379631344,"sty",1
"GO:0046628","GO:0046628","positive regulation of insulin receptor signaling pathway","1/14","13/11267",0.0160419663772017,1,0.0575960379631344,"ImpL2",1
"GO:0048581","GO:0048581","negative regulation of post-embryonic development","1/14","13/11267",0.0160419663772017,1,0.0575960379631344,"sty",1
"GO:0048747","GO:0048747","muscle fiber development","1/14","13/11267",0.0160419663772017,1,0.0575960379631344,"sty",1
"GO:1900078","GO:1900078","positive regulation of cellular response to insulin stimulus","1/14","13/11267",0.0160419663772017,1,0.0575960379631344,"ImpL2",1
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","1/14","13/11267",0.0160419663772017,1,0.0575960379631344,"Sesn",1
