"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR120TCW","ENCFF911SRQ","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS629NUM/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB762AAC",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF911SRQ/@@download/ENCFF911SRQ.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF253ORM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","d95ef74464fe0eec6277fe55a841f30f"
"ENCSR120TCW","ENCFF406OZJ","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS629NUM/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB762AAC",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF406OZJ/@@download/ENCFF406OZJ.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF253ORM/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","45e9f2a47308f741284e1855c7067eea"
"ENCSR120TCW","ENCFF810NJN","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS232BIS/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB227EMJ",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF810NJN/@@download/ENCFF810NJN.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF769FKK/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","b3c2fa1b6b0b9c1f97d6488ea113b302"
"ENCSR120TCW","ENCFF132BFO","bigWig","bigWig","16.9 Mb","signal","read-depth normalized signal","eGFP-Atf3","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS629NUM/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB762AAC",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF132BFO/@@download/ENCFF132BFO.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF253ORM/; /files/ENCFF769FKK/; /files/ENCFF972DYV/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","1325b7c6c7f8fc721628b17f6955fb10"
"ENCSR120TCW","ENCFF965YJP","bigWig","bigWig","16.6 Mb","signal","signal of unique reads","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS232BIS/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB227EMJ",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF965YJP/@@download/ENCFF965YJP.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF769FKK/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","67ddc55d3b05b246ad46fc8ad9a79d16"
"ENCSR120TCW","ENCFF010UFL","bigWig","bigWig","16.8 Mb","signal","signal of unique reads","eGFP-Atf3","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS629NUM/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB762AAC",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF010UFL/@@download/ENCFF010UFL.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF253ORM/; /files/ENCFF769FKK/; /files/ENCFF972DYV/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","41e3d30dcd3c33741d942039b7174c7d"
"ENCSR120TCW","ENCFF015YZS","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS303MZL/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB129JWT",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF015YZS/@@download/ENCFF015YZS.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF972DYV/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","fbe75279fff4cd0fe6b56a12cfc8634f"
"ENCSR120TCW","ENCFF645GLF","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS232BIS/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB227EMJ",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF645GLF/@@download/ENCFF645GLF.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF769FKK/; /files/ENCFF991WYH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","f9e57184ae4f7fba946272ead3fa3b01"
"ENCSR120TCW","ENCFF066HMR","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Atf3","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS303MZL/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB129JWT",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF066HMR/@@download/ENCFF066HMR.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF972DYV/; /files/ENCFF991WYH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","b8ee9c62ccb36be046943d61b37a5f77"
"ENCSR120TCW","ENCFF532TNX","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Atf3","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS629NUM/","whole organisms","whole organism","VK00033 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Atf3-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB762AAC",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR437TND",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF532TNX/@@download/ENCFF532TNX.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR120TCW/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF253ORM/; /files/ENCFF769FKK/; /files/ENCFF972DYV/; /files/ENCFF991WYH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","ec5a5e3c65fb1ba563daa2a5b6ed60bc"
