"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR025MAQ","ENCFF473FFV","bigWig","bigWig","14.6 Mb","signal","read-depth normalized signal","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS959QWU/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB492EYA","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF473FFV/@@download/ENCFF473FFV.bigWig","2",2,1,"c61ca8da-923a-49d1-8c02-30cee7ca221d","2_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB492EYA/","/files/ENCFF271REY/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","6e440f6862f53285dbdb48bd8d472b32"
"ENCSR025MAQ","ENCFF786RUD","bigWig","bigWig","15.1 Mb","signal","control normalized signal","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS959QWU/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB492EYA","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF786RUD/@@download/ENCFF786RUD.bigWig","2",2,1,"c61ca8da-923a-49d1-8c02-30cee7ca221d","2_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB492EYA/","/files/ENCFF271REY/; /files/ENCFF814ARB/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","ca7e13abd3a24c086fbaea6e4b40fd26"
"ENCSR025MAQ","ENCFF224SMG","bigWig","bigWig","15.2 Mb","signal","control normalized signal","eGFP-ATbp","other context; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS754RCQ/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB492EYA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF224SMG/@@download/ENCFF224SMG.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF271REY/; /files/ENCFF648GEE/; /files/ENCFF814ARB/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","e41d3cb3b1a618ad90982b2135d33f18"
"ENCSR025MAQ","ENCFF219HKS","bigWig","bigWig","14.8 Mb","signal","read-depth normalized signal","eGFP-ATbp","other context; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS754RCQ/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB492EYA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF219HKS/@@download/ENCFF219HKS.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF271REY/; /files/ENCFF648GEE/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","0b0cc1557d5183763742dc7f35776616"
"ENCSR025MAQ","ENCFF462DWE","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS959QWU/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB492EYA","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF462DWE/@@download/ENCFF462DWE.bigWig","2",2,1,"c61ca8da-923a-49d1-8c02-30cee7ca221d","2_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB492EYA/","/files/ENCFF394OXZ/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","8a204f8c701a043dd35999b1e00f2e7c"
"ENCSR025MAQ","ENCFF777TUL","bigWig","bigWig","14.6 Mb","signal","signal of unique reads","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS754RCQ/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB220KNO","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF777TUL/@@download/ENCFF777TUL.bigWig","1",1,1,"3668e0f3-6a07-4c12-89f6-3a2667bf4785","1_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB220KNO/","/files/ENCFF648GEE/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","387c8e76018d9993b0d27b3ccbea931f"
"ENCSR025MAQ","ENCFF050ASX","bigWig","bigWig","14.6 Mb","signal","signal of unique reads","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS959QWU/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB492EYA","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF050ASX/@@download/ENCFF050ASX.bigWig","2",2,1,"c61ca8da-923a-49d1-8c02-30cee7ca221d","2_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB492EYA/","/files/ENCFF271REY/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","b533c96d51087b7d41110c6febf08290"
"ENCSR025MAQ","ENCFF787FRQ","bigWig","bigWig","14.6 Mb","signal","read-depth normalized signal","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS754RCQ/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB220KNO","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF787FRQ/@@download/ENCFF787FRQ.bigWig","1",1,1,"3668e0f3-6a07-4c12-89f6-3a2667bf4785","1_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB220KNO/","/files/ENCFF648GEE/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","4fafde00230baeb59504dab70bf778d1"
"ENCSR025MAQ","ENCFF907MWG","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS754RCQ/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB220KNO","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF907MWG/@@download/ENCFF907MWG.bigWig","1",1,1,"3668e0f3-6a07-4c12-89f6-3a2667bf4785","1_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB220KNO/","/files/ENCFF555OKE/; /files/ENCFF295ZVD/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","454b878064fa3a37bfea812d3dae6a7e"
"ENCSR025MAQ","ENCFF932YAW","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-ATbp","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS754RCQ/","whole organisms","whole organism","attP-40 whole organism embryo (0-14 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing ATbp-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB220KNO","ENCAB728YTO","eGFP-avictoria","/antibody-characterizations/64df6ef7-65de-4a9c-8cae-a1e2ece1ff96/; /antibody-characterizations/08a04878-1962-4ba9-aeac-5ad5e3075331/; /antibody-characterizations/6aeeac09-2007-4739-a726-b7aaeca3fddd/; /antibody-characterizations/ac50c71d-0c95-4aec-b490-779545c456fd/; /antibody-characterizations/e20454f1-f13b-40c4-a550-601a59eb4064/; /antibody-characterizations/ac9d3efc-3a57-435a-badf-71dfe3746a6d/; /antibody-characterizations/3de8a3d0-b6fd-46e7-9f0b-66ebc4aa037a/; /antibody-characterizations/0f0d842b-249a-40c6-814c-a9a996001830/; /antibody-characterizations/2b21586e-cf35-4ae7-8f8a-ba6e6430c27c/; /antibody-characterizations/bab4e233-43b5-4217-bb27-a000c84e7145/; /antibody-characterizations/8e41967e-9a3f-489b-aab1-18716ff0e795/",NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR082WMZ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF932YAW/@@download/ENCFF932YAW.bigWig","1",1,1,"3668e0f3-6a07-4c12-89f6-3a2667bf4785","1_1","modERN","/experiments/ENCSR025MAQ/",NA,NA,"released","Alec Victorsen","/libraries/ENCLB220KNO/","/files/ENCFF555OKE/",NA,NA,NA,NA,"2017-11-22","/biosample-types/whole_organisms_UBERON_0000468/","ea36d37b001fec55919f8fed5e210205"
