"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR624PKN","ENCFF157UMH","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF157UMH/@@download/ENCFF157UMH.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF498BTS/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","59cee596e83bdf869e97d7f33592f9a0"
"ENCSR624PKN","ENCFF968CGE","bigWig","bigWig","14.7 Mb","signal","read-depth normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS104NIM/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB279FLB",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF968CGE/@@download/ENCFF968CGE.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF897LOY/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","410d93064c16a7eebe23710562ac0cc5"
"ENCSR624PKN","ENCFF473THQ","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS104NIM/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB279FLB",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF473THQ/@@download/ENCFF473THQ.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF897LOY/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","dd39114dae2eba39af5721eef1eec413"
"ENCSR624PKN","ENCFF470MWF","bigWig","bigWig","15.3 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS104NIM/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB279FLB",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF470MWF/@@download/ENCFF470MWF.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF897LOY/; /files/ENCFF282RTG/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","1bffe7e016ef28a39aa3978c4b1e7b00"
"ENCSR624PKN","ENCFF572MRL","bigWig","bigWig","14.9 Mb","signal","signal of unique reads","eGFP-CG9727","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF572MRL/@@download/ENCFF572MRL.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF822PCF/; /files/ENCFF897LOY/; /files/ENCFF730IWZ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","2ac8cab5234f432721ca18305ccdc76b"
"ENCSR624PKN","ENCFF766SGL","bigWig","bigWig","14.6 Mb","signal","signal of unique reads","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS192QZS/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB514AGR",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF766SGL/@@download/ENCFF766SGL.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF730IWZ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","2b3442eec705d10a7fb2496f7091ccb4"
"ENCSR624PKN","ENCFF664KFV","bigWig","bigWig","14.7 Mb","signal","read-depth normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF664KFV/@@download/ENCFF664KFV.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF822PCF/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","c735c6abdc7f82b322e7f56e34f70cfe"
"ENCSR624PKN","ENCFF027GLV","bigWig","bigWig","17 Mb","signal","signal of unique reads","eGFP-CG9727","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF027GLV/@@download/ENCFF027GLV.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF498BTS/; /files/ENCFF185IIG/; /files/ENCFF480DHN/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","b7e99f4fc4224c44cb039b5e52b4ff37"
"ENCSR624PKN","ENCFF145ATU","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF145ATU/@@download/ENCFF145ATU.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF498BTS/; /files/ENCFF185IIG/; /files/ENCFF480DHN/; /files/ENCFF306HYQ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","4f0063787086187619af9259a70103c3"
"ENCSR624PKN","ENCFF885YVF","bigWig","bigWig","14.9 Mb","signal","read-depth normalized signal","eGFP-CG9727","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF885YVF/@@download/ENCFF885YVF.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF822PCF/; /files/ENCFF897LOY/; /files/ENCFF730IWZ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","9439119101bf2de02190e141e5274ec6"
"ENCSR624PKN","ENCFF571ZEZ","bigWig","bigWig","15.2 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS192QZS/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB514AGR",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF571ZEZ/@@download/ENCFF571ZEZ.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF730IWZ/; /files/ENCFF282RTG/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","a7d97aa1c3876a0edae3e7b948fc1af2"
"ENCSR624PKN","ENCFF850MCJ","bigWig","bigWig","14.6 Mb","signal","read-depth normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS192QZS/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB514AGR",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF850MCJ/@@download/ENCFF850MCJ.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF730IWZ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","47213a63bac8c8565815bc781c60d779"
"ENCSR624PKN","ENCFF513BCX","bigWig","bigWig","15.3 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF513BCX/@@download/ENCFF513BCX.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF822PCF/; /files/ENCFF282RTG/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","a0e95350cc33bb818e2e202eaee831f7"
"ENCSR624PKN","ENCFF668TUI","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF668TUI/@@download/ENCFF668TUI.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF822PCF/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","8afd67c957c68928db36fb459170ab54"
"ENCSR624PKN","ENCFF197UCC","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS192QZS/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB514AGR",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF197UCC/@@download/ENCFF197UCC.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF480DHN/; /files/ENCFF306HYQ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","caa28588130892cfa0abb5e578156a0c"
"ENCSR624PKN","ENCFF993FIS","bigWig","bigWig","16.7 Mb","signal","read-depth normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS192QZS/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB514AGR",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF993FIS/@@download/ENCFF993FIS.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF480DHN/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","c24503e191b3418ca0b75036fd48f22f"
"ENCSR624PKN","ENCFF103JPP","bigWig","bigWig","15.4 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF103JPP/@@download/ENCFF103JPP.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF822PCF/; /files/ENCFF897LOY/; /files/ENCFF730IWZ/; /files/ENCFF282RTG/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","3e2969135e77a7f1e05e2be04e0744c6"
"ENCSR624PKN","ENCFF616FMH","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-CG9727","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS769CRO/","whole organisms","whole organism","strain CG9727-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG9727-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB697MWS",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR236JJO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF616FMH/@@download/ENCFF616FMH.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR624PKN/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF498BTS/; /files/ENCFF306HYQ/",NA,NA,NA,NA,"2017-01-11","/biosample-types/whole_organisms_UBERON_0000468/","9a37c15b3b48d200db6df1a028dc6580"
