"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR184CKS","ENCFF276LQT","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF276LQT/@@download/ENCFF276LQT.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF846XNY/; /files/ENCFF319LDK/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","443afd1b8cd97130397d3b632e634a62"
"ENCSR184CKS","ENCFF532CYL","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS236CKM/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB264BFG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF532CYL/@@download/ENCFF532CYL.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF017ETX/; /files/ENCFF319LDK/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","ae8c44b996791cbf4f8f15a6ea213931"
"ENCSR184CKS","ENCFF866GKV","bigWig","bigWig","16.4 Mb","signal","signal of unique reads","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS236CKM/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB264BFG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF866GKV/@@download/ENCFF866GKV.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF017ETX/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","4c391f3f0d6737a8133cb91f37267d3a"
"ENCSR184CKS","ENCFF145WGW","bigWig","bigWig","14.3 Mb","signal","signal of unique reads","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF145WGW/@@download/ENCFF145WGW.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF308YRB/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","e0bd5fe06a884f745f208007aa4fea24"
"ENCSR184CKS","ENCFF198HNK","bigWig","bigWig","14.3 Mb","signal","read-depth normalized signal","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF198HNK/@@download/ENCFF198HNK.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF308YRB/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","e7f8821631b4898cc94964d32eb29f58"
"ENCSR184CKS","ENCFF694NWC","bigWig","bigWig","16.3 Mb","signal","read-depth normalized signal","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF694NWC/@@download/ENCFF694NWC.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF846XNY/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","4b65adce45fce8498db33bf8365fb2cc"
"ENCSR184CKS","ENCFF294KAJ","bigWig","bigWig","14.5 Mb","signal","read-depth normalized signal","eGFP-Fer1","other context; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF294KAJ/@@download/ENCFF294KAJ.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF308YRB/; /files/ENCFF508IZG/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","6f22834b9e8a66f57c739682a832dda3"
"ENCSR184CKS","ENCFF572ZIL","bigWig","bigWig","16.4 Mb","signal","read-depth normalized signal","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS236CKM/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB264BFG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF572ZIL/@@download/ENCFF572ZIL.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF017ETX/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","5dd8af935f2c967dde995afda6dd400d"
"ENCSR184CKS","ENCFF022MOK","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Fer1","other context; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF022MOK/@@download/ENCFF022MOK.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF846XNY/; /files/ENCFF017ETX/; /files/ENCFF319LDK/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","d62204de4df85284b34f575163322bfc"
"ENCSR184CKS","ENCFF041AXL","bigWig","bigWig","15.3 Mb","signal","control normalized signal","eGFP-Fer1","other context; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF041AXL/@@download/ENCFF041AXL.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF308YRB/; /files/ENCFF508IZG/; /files/ENCFF817RTN/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","e513d35be122b47a0a8979e43e4d6f95"
"ENCSR184CKS","ENCFF555WHG","bigWig","bigWig","15.3 Mb","signal","control normalized signal","eGFP-Fer1","other context; recombinant protein","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS236CKM/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB264BFG",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF555WHG/@@download/ENCFF555WHG.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF508IZG/; /files/ENCFF817RTN/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","99f7c970fce9ba1ddf11e40c26d7c97c"
"ENCSR184CKS","ENCFF407ERT","bigWig","bigWig","14.5 Mb","signal","signal of unique reads","eGFP-Fer1","other context; recombinant protein",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS586AHU/","whole organisms","whole organism","strain Fer1-GFP whole organism embryo (6-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Fer1-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB435WYI",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR022ZVU",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF407ERT/@@download/ENCFF407ERT.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR184CKS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF308YRB/; /files/ENCFF508IZG/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","735c4576e942a98f409b067173b73d54"
