"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR224YOT","ENCFF451USB","bigWig","bigWig","16.8 Mb","signal","signal of unique reads","eGFP-bigmax","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS782UCX/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB794UPN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF451USB/@@download/ENCFF451USB.bigWig","3; 4",NA,NA,NA,"3_1; 4_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF942HPK/; /files/ENCFF481XBZ/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","c488619cd06ffc483083ccc3641cec61"
"ENCSR224YOT","ENCFF685YDL","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-bigmax","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS791QFF/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB794UPN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF685YDL/@@download/ENCFF685YDL.bigWig","4",NA,NA,NA,"4_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF481XBZ/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","df0a60196bc7f607d9e183187f381ed3"
"ENCSR224YOT","ENCFF511BTH","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-bigmax","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS791QFF/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB794UPN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF511BTH/@@download/ENCFF511BTH.bigWig","4",NA,NA,NA,"4_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF481XBZ/; /files/ENCFF146WNC/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","b98b01d8de34a5a7e881adb9c5ad84e8"
"ENCSR224YOT","ENCFF302TPU","bigWig","bigWig","16.9 Mb","signal","read-depth normalized signal","eGFP-bigmax","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS782UCX/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB794UPN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF302TPU/@@download/ENCFF302TPU.bigWig","3; 4",NA,NA,NA,"3_1; 4_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF942HPK/; /files/ENCFF481XBZ/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","2afcb3bd408c46031d688e30c8307ef3"
"ENCSR224YOT","ENCFF342YPC","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-bigmax","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS782UCX/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB794UPN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF342YPC/@@download/ENCFF342YPC.bigWig","3; 4",NA,NA,NA,"3_1; 4_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF942HPK/; /files/ENCFF481XBZ/; /files/ENCFF146WNC/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","45b008d411564de0f3c89c4b2d4dfaaa"
"ENCSR224YOT","ENCFF350FBY","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-bigmax","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS782UCX/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB616SDF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF350FBY/@@download/ENCFF350FBY.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF942HPK/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","13d32869a40b8493d897be27674f024e"
"ENCSR224YOT","ENCFF967NCF","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-bigmax","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS782UCX/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB616SDF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF967NCF/@@download/ENCFF967NCF.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF942HPK/; /files/ENCFF146WNC/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","77df092aabc8b6fe019752bca190f5e9"
"ENCSR224YOT","ENCFF707PDL","bigWig","bigWig","16.6 Mb","signal","signal of unique reads","eGFP-bigmax","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS791QFF/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB794UPN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF707PDL/@@download/ENCFF707PDL.bigWig","4",NA,NA,NA,"4_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF481XBZ/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","94288713112023c1d7f42100c5efbc1e"
"ENCSR224YOT","ENCFF196BKS","bigWig","bigWig","16.7 Mb","signal","read-depth normalized signal","eGFP-bigmax","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS782UCX/","whole organisms","whole organism","attP40 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","Input control for ChIP-seq on transgenic flies expressing bigmax-eGFP fusion proteins.","ENCLB616SDF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR797ZUO",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF196BKS/@@download/ENCFF196BKS.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR224YOT/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF942HPK/",NA,NA,NA,NA,"2018-02-05","/biosample-types/whole_organisms_UBERON_0000468/","ad97851e310307dd5e42e3292c40d403"
"ENCSR672KPS","ENCFF653ILL","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Max","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS402KUP/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Max-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB216EIF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR370HQE",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF653ILL/@@download/ENCFF653ILL.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR672KPS/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF880VCN/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","0dbe587c7f87d976280966430ad93206"
