"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR904GFO","ENCFF393LGU","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS288JDD/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB210KMW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF393LGU/@@download/ENCFF393LGU.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF052WPZ/; /files/ENCFF530EHX/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","211a654afe40a53608ae26a33b94e689"
"ENCSR904GFO","ENCFF152PJT","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-Clk","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS288JDD/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB210KMW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF152PJT/@@download/ENCFF152PJT.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF052WPZ/; /files/ENCFF895ZPY/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","fad29294f7bedd7ddf0f5fa0733b4c07"
"ENCSR904GFO","ENCFF838PJD","bigWig","bigWig","16.5 Mb","signal","signal of unique reads","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS288JDD/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB210KMW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF838PJD/@@download/ENCFF838PJD.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF052WPZ/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","844a55ccf31b2eb84c8bfe04099e6c9b"
"ENCSR904GFO","ENCFF775HGE","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS966FMQ/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB106HMK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF775HGE/@@download/ENCFF775HGE.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF895ZPY/; /files/ENCFF530EHX/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","4477245e4822fa4f96190a8277b77cb4"
"ENCSR904GFO","ENCFF969YZT","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS966FMQ/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB106HMK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF969YZT/@@download/ENCFF969YZT.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF895ZPY/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","52b791d26d3ab094d634c8681d4d9261"
"ENCSR904GFO","ENCFF069PQT","bigWig","bigWig","14.6 Mb","signal","read-depth normalized signal","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS966FMQ/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB106HMK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF069PQT/@@download/ENCFF069PQT.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF233WZF/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","74b623fc1559ec259db8694668a05145"
"ENCSR904GFO","ENCFF579ZOA","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-Clk","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS288JDD/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB210KMW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF579ZOA/@@download/ENCFF579ZOA.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF925EHB/; /files/ENCFF233WZF/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","71c26d92de5a8085a2e81cde8771f64d"
"ENCSR904GFO","ENCFF912CNP","bigWig","bigWig","14.5 Mb","signal","signal of unique reads","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS288JDD/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB210KMW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF912CNP/@@download/ENCFF912CNP.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF925EHB/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","1946b652c4d1fe34658fb7f0b5e56809"
"ENCSR904GFO","ENCFF259EHN","bigWig","bigWig","15.1 Mb","signal","control normalized signal","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS288JDD/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB210KMW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF259EHN/@@download/ENCFF259EHN.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF925EHB/; /files/ENCFF595OBP/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","fcd38b6e0af03a4c8f08969b16047207"
"ENCSR904GFO","ENCFF252EIA","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-Clk","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS966FMQ/","whole organisms","whole organism","strain Clk-GFP whole organism male adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Clk-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB106HMK",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR157XVL",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF252EIA/@@download/ENCFF252EIA.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR904GFO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF233WZF/",NA,NA,NA,NA,"2017-01-10","/biosample-types/whole_organisms_UBERON_0000468/","4b281417a70c730fc46cce1c6bed6a3d"
