"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR191VCQ","ENCFF364ZLR","bigWig","bigWig","14.9 Mb","signal","read-depth normalized signal","Myc","transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS053ENZ/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF364ZLR/@@download/ENCFF364ZLR.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF487YTC/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","73884d6a2882ec124742bb1b8d17e0cf"
"ENCSR191VCQ","ENCFF411WOX","bigWig","bigWig","14.9 Mb","signal","signal of unique reads","Myc","transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS053ENZ/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF411WOX/@@download/ENCFF411WOX.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF487YTC/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","48e37a3da6d9ea197cee777be6846eb9"
"ENCSR191VCQ","ENCFF928DHT","bigWig","bigWig","17.2 Mb","signal","read-depth normalized signal","Myc","transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS124CPD/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF928DHT/@@download/ENCFF928DHT.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF940EDK/; /files/ENCFF945MHQ/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","e39dd365f66abf75bd6137b223e388fb"
"ENCSR191VCQ","ENCFF335MUF","bigWig","bigWig","16.7 Mb","signal","control normalized signal","Myc","transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS053ENZ/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF335MUF/@@download/ENCFF335MUF.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF940EDK/; /files/ENCFF135CUA/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","021d48846f4cfb6d1f70aa535528d963"
"ENCSR191VCQ","ENCFF194NKJ","bigWig","bigWig","15.3 Mb","signal","signal of unique reads","Myc","transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS124CPD/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF194NKJ/@@download/ENCFF194NKJ.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF487YTC/; /files/ENCFF704QML/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","7a4e6fcdb9fc8a8fe2791e40f4f16525"
"ENCSR191VCQ","ENCFF515AGW","bigWig","bigWig","15.4 Mb","signal","control normalized signal","Myc","transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS124CPD/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB114LMN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF515AGW/@@download/ENCFF515AGW.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF704QML/; /files/ENCFF853UTB/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","fb676c661d00ba6ab9d24dcba60c9161"
"ENCSR191VCQ","ENCFF546WFC","bigWig","bigWig","16.8 Mb","signal","control normalized signal","Myc","transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS124CPD/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF546WFC/@@download/ENCFF546WFC.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF940EDK/; /files/ENCFF945MHQ/; /files/ENCFF135CUA/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","816b0160cd98a5b4144d8e8e545617a6"
"ENCSR191VCQ","ENCFF397FFY","bigWig","bigWig","17 Mb","signal","signal of unique reads","Myc","transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS053ENZ/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF397FFY/@@download/ENCFF397FFY.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF940EDK/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","1fac8dc3682af11b954e2b5a33b9d05b"
"ENCSR191VCQ","ENCFF192MUW","bigWig","bigWig","17.2 Mb","signal","signal of unique reads","Myc","transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS124CPD/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB569ZUF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF192MUW/@@download/ENCFF192MUW.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF940EDK/; /files/ENCFF945MHQ/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","75c6ee8355c77699aa9222859e0249dd"
"ENCSR191VCQ","ENCFF823OVC","bigWig","bigWig","17.1 Mb","signal","read-depth normalized signal","Myc","transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS124CPD/","whole organisms","whole organism","strain yellow cinnabar brown speck whole organism wandering third instar larva","ChIP-seq against Myc in D. melanogaster whole organisms (wandering third instar larva)","ENCLB114LMN",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR264HEB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF823OVC/@@download/ENCFF823OVC.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR191VCQ/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF945MHQ/",NA,NA,NA,NA,"2017-09-28","/biosample-types/whole_organisms_UBERON_0000468/","cbb5d12ce76521516fa5402f71bc592b"
