"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR189NRY","ENCFF308EVZ","bigWig","bigWig","16.6 Mb","signal","signal of unique reads","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS682WYO/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB529LGA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF308EVZ/@@download/ENCFF308EVZ.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF570WRU/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","f8dc7b39373f0e1c375dffca3809f8d8"
"ENCSR189NRY","ENCFF631QVC","bigWig","bigWig","16.6 Mb","signal","signal of unique reads","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS049WWQ/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB524ELW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF631QVC/@@download/ENCFF631QVC.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF380XHH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","65c0a67f4d7df7015eb4681c821d9e57"
"ENCSR189NRY","ENCFF892ZGA","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF892ZGA/@@download/ENCFF892ZGA.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF943XDC/; /files/ENCFF312BZD/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","b97eef2b10da9c1cd7bbe69b3877d4d7"
"ENCSR189NRY","ENCFF686DZI","bigWig","bigWig","16.9 Mb","signal","signal of unique reads","eGFP-Hsf","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF686DZI/@@download/ENCFF686DZI.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF570WRU/; /files/ENCFF943XDC/; /files/ENCFF380XHH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","ff09005e45d31b54414c4a924a188604"
"ENCSR189NRY","ENCFF446RQG","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF446RQG/@@download/ENCFF446RQG.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF943XDC/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","2a8ee669dd126d55062149f33b9013c2"
"ENCSR189NRY","ENCFF498SDV","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS682WYO/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB529LGA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF498SDV/@@download/ENCFF498SDV.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF570WRU/; /files/ENCFF312BZD/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","7fcf1ace15b8a68c1767cafe9703edb0"
"ENCSR189NRY","ENCFF318ABS","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS049WWQ/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB524ELW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF318ABS/@@download/ENCFF318ABS.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF380XHH/; /files/ENCFF312BZD/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","05a70cdc82f6d95307f9b01606266901"
"ENCSR189NRY","ENCFF282LZL","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS682WYO/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB529LGA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF282LZL/@@download/ENCFF282LZL.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF570WRU/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","b7190147666a4e1387b8be949e7e33a6"
"ENCSR189NRY","ENCFF276FUD","bigWig","bigWig","16.6 Mb","signal","control normalized signal","eGFP-Hsf","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF276FUD/@@download/ENCFF276FUD.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF570WRU/; /files/ENCFF943XDC/; /files/ENCFF380XHH/; /files/ENCFF312BZD/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","6542f8514e25f00c6566bf0c1b96030f"
"ENCSR189NRY","ENCFF133ZBO","bigWig","bigWig","16.9 Mb","signal","read-depth normalized signal","eGFP-Hsf","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF133ZBO/@@download/ENCFF133ZBO.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF570WRU/; /files/ENCFF943XDC/; /files/ENCFF380XHH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","6c773cc6b7ab7eede9da87809174478b"
"ENCSR189NRY","ENCFF582KEP","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF582KEP/@@download/ENCFF582KEP.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF943XDC/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","048a8a773b6b0299f6874cfd94826e2a"
"ENCSR189NRY","ENCFF906DTM","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS049WWQ/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB524ELW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF906DTM/@@download/ENCFF906DTM.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF380XHH/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","2773261dcd704e0b1c025ae5d8c5a438"
"ENCSR189NRY","ENCFF162CAZ","bigWig","bigWig","14.5 Mb","signal","read-depth normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS682WYO/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB529LGA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF162CAZ/@@download/ENCFF162CAZ.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF923XFV/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","a13cd2c90c5e51c8ebd721d858850671"
"ENCSR189NRY","ENCFF508WTP","bigWig","bigWig","15.2 Mb","signal","control normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS726AOT/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB576EZM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF508WTP/@@download/ENCFF508WTP.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF331CST/; /files/ENCFF003RFA/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","f57ae9d913fc6489466171bcb676860d"
"ENCSR189NRY","ENCFF049LQL","bigWig","bigWig","14.5 Mb","signal","read-depth normalized signal","eGFP-Hsf","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS049WWQ/","whole organisms","whole organism","strain Hsf-GFP whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing Hsf-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB524ELW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR768IJB",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF049LQL/@@download/ENCFF049LQL.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR189NRY/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF983AHI/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","a5f8a18b77252dc0705f43efe4e64367"
