"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030515","GO:0030515","snoRNA binding","6/58","21/10875",9.00099373698323e-10,8.46093411276423e-08,4.25258038739408e-08,"nop5/NHP2/CG12325/CG7728/Tsr1/Nop56",6
"GO:0003724","GO:0003724","RNA helicase activity","7/58","39/10875",1.13801446986602e-09,1.06973360167406e-07,4.25258038739408e-08,"Dbp45A/CG9253/CG9143/CG5589/CG32344/bel/pit",7
"GO:0140098","GO:0140098","catalytic activity, acting on RNA","12/58","245/10875",4.65301789693117e-09,4.3738368231153e-07,1.15917287958636e-07,"Fib/Dbp45A/Rtc1/CG8939/CG9253/CG8545/CG9143/CG5589/CG13773/CG32344/bel/pit",12
"GO:0004004","GO:0004004","ATP-dependent RNA helicase activity","6/58","35/10875",2.54190217292812e-08,2.38938804255243e-06,3.79947482690309e-07,"Dbp45A/CG9253/CG9143/CG5589/CG32344/bel",6
"GO:0008186","GO:0008186","RNA-dependent ATPase activity","6/58","35/10875",2.54190217292812e-08,2.38938804255243e-06,3.79947482690309e-07,"Dbp45A/CG9253/CG9143/CG5589/CG32344/bel",6
"GO:0004386","GO:0004386","helicase activity","7/58","88/10875",3.83879322327117e-07,3.6084656298749e-05,4.7816547167062e-06,"Dbp45A/CG9253/CG9143/CG5589/CG32344/bel/pit",7
"GO:0008026","GO:0008026","ATP-dependent helicase activity","6/58","58/10875",5.76705283268666e-07,5.42102966272546e-05,5.38764146211517e-06,"Dbp45A/CG9253/CG9143/CG5589/CG32344/bel",6
"GO:0070035","GO:0070035","purine NTP-dependent helicase activity","6/58","58/10875",5.76705283268666e-07,5.42102966272546e-05,5.38764146211517e-06,"Dbp45A/CG9253/CG9143/CG5589/CG32344/bel",6
"GO:0008649","GO:0008649","rRNA methyltransferase activity","3/58","13/10875",3.96454444451026e-05,0.00372667177783965,0.000296297532168662,"Fib/CG8939/CG8545",3
"GO:0140102","GO:0140102","catalytic activity, acting on a rRNA","3/58","13/10875",3.96454444451026e-05,0.00372667177783965,0.000296297532168662,"Fib/CG8939/CG8545",3
