Gene,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
FBgn0261625,1.15E-38,1.74E-34,-179.8222524,-273.7254472,9,4,2076.730939,0,0,0,1.73E-08,0.000260609,9.48E-33,1.43E-28,FALSE,TRUE,FALSE
FBgn0259937,6.06E-26,4.57E-22,-170.2739285,-234.3170027,9,4,1934.468879,0,0,0,1,1,1.37E-27,1.03E-23,FALSE,TRUE,FALSE
FBgn0052103,3.00E-23,1.51E-19,-165.7424308,-223.4263688,9,4,1508.874772,0,0,0,1,1,8.20E-26,4.12E-22,FALSE,TRUE,FALSE
FBgn0030672,5.33E-17,2.01E-13,-178.9513099,-221.8081052,9,4,2864.42452,0,0,0,0.900249151,0.985513425,2.02E-18,7.63E-15,FALSE,TRUE,FALSE
FBgn0026196,5.36E-16,1.31E-12,-165.8427467,-206.3073308,9,4,996.0853235,0,0,0,0.000961373,0.483570652,1.84E-14,4.02E-11,FALSE,TRUE,FALSE
FBgn0037248,6.02E-16,1.31E-12,-163.6206085,-203.9657595,9,4,1476.771917,0,0,0,0.001068333,0.503785742,1.87E-14,4.02E-11,FALSE,TRUE,FALSE
FBgn0038981,6.08E-16,1.31E-12,-175.734411,-216.0686657,9,4,1828.165862,0,0,0,0.000201353,0.178730303,9.76E-14,1.64E-10,FALSE,TRUE,FALSE
FBgn0036165,2.13E-13,4.02E-10,-153.5207467,-187.7569819,9,4,599.4945987,0,0,0,4.27E-08,0.000322114,1.53E-07,6.99E-05,FALSE,TRUE,FALSE
FBgn0038964,2.93E-13,4.91E-10,-187.1802679,-221.0844967,9,4,3760.905518,0,0,0,0.293212782,0.949736616,4.21E-14,7.94E-11,FALSE,TRUE,FALSE
FBgn0023407,1.00E-12,1.51E-09,-170.1843723,-202.8014708,9,4,1453.397414,0,0,0,1.81E-05,0.030305563,2.03E-09,1.94E-06,FALSE,TRUE,FALSE
FBgn0263231,1.25E-12,1.71E-09,-191.2285434,-223.6169823,9,4,2918.07685,0,0,0,0.034141687,0.949736616,1.55E-12,2.35E-09,FALSE,TRUE,FALSE
