"gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"aop","FBgn0000097",1129.81111519866,-2.51865989968983,0.356471186067096,1086.74514173416,5.65180395846805e-234,5.53876787929869e-232
"Cam","FBgn0000253",4495.04730991989,-9.70098350774737,0.32656046431316,1005.2277372279,2.62825811612724e-216,1.28784647690235e-214
"Bsg25D","FBgn0000228",232.487543776906,-5.09572762911323,0.312099141277294,495.087671074682,7.7353718035891e-106,2.52688812250577e-104
"CecB","FBgn0000278",99.5864900939593,-7.33456593652657,1.24406299767919,366.479532739782,4.8457831399902e-78,1.1872168692976e-76
"bsk","FBgn0000229",693.562288405705,4.35087111782467,0.275835420027151,232.081433447474,4.70428931815419e-49,9.22040706358221e-48
"capu","FBgn0000256",171.497507586245,2.2466689612002,0.171604532982436,231.040544578461,7.88106097584766e-49,1.28723995938845e-47
"CG2650","FBgn0000092",78.5661418013012,-0.148561397679181,1.68077962514822,180.118005458737,7.03388006008953e-38,9.84743208412535e-37
"Pfas","FBgn0000052",354.293841626927,-6.02821263922168,0.441262242023177,171.152327923905,5.91755833604146e-36,7.24900896165079e-35
"bib","FBgn0000180",129.808276061801,-0.0838403431992456,0.30364929711868,169.389905126401,1.41385443818267e-35,1.53953038824335e-34
"abd-A","FBgn0000014",142.904216372846,0.174226568925378,1.12247223659944,149.187966472596,3.039008587556e-31,2.97822841580488e-30
"abo","FBgn0000018",186.451744008578,2.73937593217982,0.302424031543057,139.605264782487,3.42887248738979e-29,3.05481367058363e-28
"Gart","FBgn0000053",353.657258720852,3.3517258547021,0.286447954640383,136.651919659166,1.46997032133165e-28,1.20047576242085e-27
"baz","FBgn0000163",245.599487128976,2.82300614484977,0.263015326227158,123.40033635172,1.00282726806194e-25,7.5597747900054e-25
"ase","FBgn0000137",21.1655259630663,-8.29771284415574,1.39416764552696,118.544744728132,1.0925819938847e-24,7.64807395719287e-24
"Act87E","FBgn0000046",79.4277380911302,2.73248065050094,1.60352908740586,109.318618430564,1.0169542957744e-22,6.64410139905942e-22
"Arl1","FBgn0000115",160.773262763017,-4.31670288492611,0.462520383377588,108.519303678615,1.50570800926028e-22,9.22246155671924e-22
