gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
aop,FBgn0001332,1.34E-232,1.31E-230,-81.23591904,-624.3066955,9,4,1265.771126,0,0,0,4.91E-148,4.81E-146,4.62E-88,2.26E-86,TRUE,FALSE,FALSE
Cam,FBgn0011704,5.97E-215,2.93E-213,-103.3583799,-605.674324,9,4,4888.719195,0,0,0,0.064504032,0.150509408,2.75E-216,2.70E-214,FALSE,TRUE,FALSE
Bsg25D,FBgn0012036,3.37E-101,1.10E-99,-73.61635606,-312.9008625,9,4,244.7912989,0,0,0,1.14E-84,5.59E-83,8.16E-20,7.99E-19,TRUE,FALSE,FALSE
bsk,FBgn0025683,6.34E-48,1.29E-46,-89.27734369,-204.807853,9,4,727.7791376,0,0,0,0.581880161,0.856104027,1.40E-49,4.57E-48,FALSE,TRUE,FALSE
capu,FBgn0027287,6.57E-48,1.29E-46,-62.89564139,-178.3894972,9,4,190.0652657,0,0,0,0.414287029,0.70816072,2.03E-49,4.98E-48,FALSE,TRUE,FALSE
CecB,FBgn0027598,5.02E-46,8.20E-45,-118.5318916,-229.6314327,9,4,111.5788432,0,0,0,1.79E-14,2.51E-13,3.18E-34,6.23E-33,TRUE,FALSE,FALSE
CG2650,FBgn0030745,8.65E-37,1.21E-35,-28.2331899,-117.7454076,9,4,85.78585511,0,0,0,3.17E-11,2.82E-10,3.87E-28,5.42E-27,TRUE,FALSE,FALSE
Pfas,FBgn0030808,2.36E-34,2.90E-33,-82.9608156,-166.7640788,9,4,387.8077606,0,0,0,2.40E-33,7.83E-32,0.000589299,0.002221205,TRUE,FALSE,FALSE
bib,FBgn0031450,4.71E-34,5.13E-33,-68.28544099,-151.3871009,9,4,137.6709274,0,0,0,4.30E-14,5.27E-13,1.55E-22,1.69E-21,TRUE,FALSE,FALSE
abd-A,FBgn0033376,2.28E-30,2.23E-29,-43.92736488,-118.3827185,9,4,56.04871312,0,0,0,5.30E-19,1.04E-17,5.68E-14,3.71E-13,TRUE,FALSE,FALSE
Gart,FBgn0035983,1.06E-27,9.48E-27,-81.5127179,-149.69073,9,4,331.2192837,0,0,0,0.584219113,0.856104027,3.93E-29,6.43E-28,FALSE,TRUE,FALSE
baz,FBgn0037007,7.64E-25,6.24E-24,-75.79127914,-137.2398355,9,4,255.1429961,0,0,0,0.568972415,0.856104027,3.21E-26,3.93E-25,FALSE,TRUE,FALSE
Act87E,FBgn0052772,8.42E-22,6.35E-21,-40.45976388,-94.71948038,9,4,86.52903445,0,0,0,6.90E-09,4.23E-08,2.69E-15,2.03E-14,TRUE,FALSE,FALSE
Arl1,FBgn0020304,1.89E-21,1.32E-20,-72.95723649,-126.3865883,9,4,120.8161113,0,0,0,3.45E-22,8.45E-21,0.045587607,0.1276453,TRUE,FALSE,FALSE
Su(H),FBgn0052103,5.20E-18,3.40E-17,-22.5568838,-67.82183105,9,4,14.21552655,0,0,0,8.32E-10,5.82E-09,1.50E-10,8.64E-10,TRUE,FALSE,FALSE
ase,FBgn0038981,4.83E-15,2.96E-14,-51.13440451,-89.31634139,9,4,25.02451726,0,0,0,2.49E-15,4.07E-14,0.027804447,0.083559519,TRUE,FALSE,FALSE
aub,FBgn0043799,1.44E-14,8.31E-14,-92.2175971,-129.2623683,9,4,520.7730961,0,0,0,0.978195951,1,5.80E-16,5.17E-15,FALSE,TRUE,FALSE
a,FBgn0000409,3.39E-14,1.85E-13,-63.2681213,-99.42026102,9,4,161.897761,0,0,0,0.848135703,1,1.61E-15,1.32E-14,FALSE,TRUE,FALSE
abo,FBgn0001330,5.50E-14,2.83E-13,-106.4540483,-142.1039341,9,4,203.6563697,0,0,0,0.048687685,0.119284829,4.42E-14,3.10E-13,FALSE,TRUE,FALSE
Act79B,FBgn0001986,6.08E-14,2.98E-13,-23.90831841,-59.45220979,9,4,12.5298637,0,0,0,7.35E-09,4.24E-08,2.37E-07,1.16E-06,TRUE,FALSE,FALSE
amx,FBgn0002719,6.68E-14,3.12E-13,-54.87474051,-90.32067563,9,4,49.35751729,0,0,0,1.07E-13,1.16E-12,0.01090521,0.035623684,FALSE,FALSE,FALSE
bcd,FBgn0002780,2.22E-12,9.90E-12,-39.23975534,-71.02229945,9,4,14.78900303,0,0,0,4.57E-09,2.99E-08,1.43E-05,6.10E-05,TRUE,FALSE,FALSE
Cf2,FBgn0003062,2.85E-12,1.21E-11,-67.1853272,-98.70747082,9,4,106.6149722,0,0,0,5.34E-13,5.23E-12,0.088619852,0.222685781,TRUE,FALSE,FALSE
CecA1,FBgn0003257,3.75E-12,1.53E-11,-69.06577763,-100.3007041,9,4,73.2668988,0,0,0,2.30E-10,1.88E-09,0.000422604,0.001656608,TRUE,FALSE,FALSE
H,FBgn0010220,1.64E-11,6.41E-11,-33.21213487,-62.89974067,9,4,13.65855649,0,0,0,0.525353527,0.856104027,1.51E-12,9.22E-12,FALSE,TRUE,FALSE
Adhr,FBgn0015527,1.27E-09,4.77E-09,-47.11101438,-72.20677239,9,4,66.2035257,0,0,0,0.011738084,0.041083295,5.64E-09,2.91E-08,FALSE,TRUE,FALSE
aurA,FBgn0019938,1.42E-09,5.17E-09,-84.41587101,-109.3876784,9,4,278.4098694,0,0,0,4.94E-10,3.73E-09,0.069161846,0.183185429,FALSE,FALSE,FALSE
Psn,FBgn0020909,6.39E-08,2.24E-07,-44.72071994,-65.63345449,9,4,18.69698853,0,0,0,0.909761622,1,4.79E-09,2.61E-08,FALSE,TRUE,FALSE
Act42A,FBgn0021874,7.98E-06,2.70E-05,-138.8212616,-154.4967835,9,4,8246.624012,0,0,0,3.15E-06,1.72E-05,0.110759654,0.246691957,FALSE,FALSE,FALSE
dx,FBgn0022069,6.24E-05,0.000203981,-39.2040786,-52.60316532,9,4,14.24634733,0,0,0,0.948211686,1,6.83E-06,3.19E-05,FALSE,TRUE,FALSE
AnxB9,FBgn0023407,8.97E-05,0.000283725,-115.227254,-128.220826,9,4,1197.615099,0,0,0,0.741533603,0.982030988,1.28E-05,5.70E-05,FALSE,TRUE,FALSE
acj6,FBgn0023542,9.45E-05,0.000289368,-42.91826866,-55.85422521,9,4,9.596760348,0,0,0,0.002698325,0.011497211,0.002848985,0.010340759,FALSE,FALSE,FALSE
ca,FBgn0024364,0.000212503,0.000631068,-112.5449611,-124.5692125,9,4,657.9334237,0,0,0,0.000369971,0.001812856,0.041223035,0.118819335,FALSE,FALSE,FALSE
CecC,FBgn0026196,0.00029585,0.000852743,-72.68018075,-84.32989569,9,4,86.81993191,0,0,0,0.000181364,0.000935454,0.108281391,0.246691957,TRUE,FALSE,FALSE
Ser,FBgn0027334,0.000593647,0.001662211,-24.87302704,-35.72947642,9,4,13.74107515,0,0,0,0.567822228,0.856104027,0.00012862,0.000525197,FALSE,TRUE,FALSE
CecA2,FBgn0027575,0.000836989,0.002278469,-21.26668027,-31.7290835,9,4,2.141680149,0,0,0,0.000631053,0.002944916,0.102787909,0.246691957,FALSE,FALSE,FALSE
cad,FBgn0028744,0.00123219,0.003263638,-53.63769623,-63.65405089,9,4,365.1746384,0,0,0,0.013374002,0.045194902,0.009731146,0.032884563,FALSE,FALSE,FALSE
BicD,FBgn0029813,0.004157477,0.010721913,-79.20489316,-87.79867512,9,4,686.4293387,0,0,0,0.003121978,0.012748077,0.129994186,0.283098449,FALSE,FALSE,FALSE
b,FBgn0030061,0.004446693,0.011173742,-59.15341742,-67.66749904,9,4,91.53902059,0,0,0,0.001796904,0.008004392,0.222800481,0.449521188,FALSE,FALSE,FALSE
Pka-C1,FBgn0030672,0.009125132,0.022356573,-76.30954958,-83.9634349,9,4,570.9191676,0,0,0,0.017628751,0.053988049,0.064879045,0.176615179,FALSE,FALSE,FALSE
aop,FBgn0030720,1.34E-232,1.31E-230,-81.23591904,-624.3066955,9,4,1265.771126,0,0,0,4.91E-148,4.81E-146,4.62E-88,2.26E-86,TRUE,FALSE,FALSE
Cam,FBgn0031851,5.97E-215,2.93E-213,-103.3583799,-605.674324,9,4,4888.719195,0,0,0,0.064504032,0.150509408,2.75E-216,2.70E-214,FALSE,TRUE,FALSE
