Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR8843729_1	59.38936955227051	46.0	101.0	33.33333333333333	15123792.0
SRR8843730_1	59.53458294760486	45.0	101.0	33.33333333333333	14298472.0
SRR8843731_1	64.67699228109139	46.0	101.0	33.33333333333333	19984615.0
SRR8843732_1	63.57439302882148	46.0	101.0	33.33333333333333	20049165.0
SRR8843733_1	63.58029896851091	45.0	101.0	33.33333333333333	19344023.0
SRR8843734_1	63.10194174869043	46.0	101.0	33.33333333333333	19127972.0
SRR8843735_1	62.529262125267124	45.0	101.0	33.33333333333333	16407269.0
SRR8843736_1	62.95393041580022	45.0	101.0	33.33333333333333	17750583.0
SRR8843737_1	61.632149522891375	46.0	101.0	33.33333333333333	14332557.0
SRR8843738_1	67.4397061903669	46.0	101.0	33.33333333333333	11386529.0
SRR8843739_1	62.1844938791881	46.0	101.0	33.33333333333333	16307131.0
SRR8843740_1	62.932383122831666	46.0	101.0	33.33333333333333	17739554.0
SRR8843741_1	62.922150509915824	46.0	101.0	33.33333333333333	17653680.0
SRR8843742_1	62.97606184629142	46.0	101.0	33.33333333333333	18916821.0
SRR8843743_1	61.83601915214128	46.0	101.0	33.33333333333333	15710001.0
SRR8843744_1	64.47659439147677	46.0	101.0	33.33333333333333	18937983.0
SRR8843745_1	61.622883482607016	46.0	101.0	33.33333333333333	14412828.0
SRR8843746_1	61.46514218956125	46.0	101.0	33.33333333333333	14872037.0
SRR8843747_1	71.37552820052355	48.0	101.0	33.33333333333333	14254539.0
SRR8843748_1	62.29347599024899	46.0	101.0	33.33333333333333	19455799.0
SRR8843749_1	61.213258558995044	46.0	101.0	33.33333333333333	20264566.0
SRR8843750_1	89.13604268332726	45.0	101.0	41.66666666666667	7865176.0
SRR8843751_1	65.48615164837813	47.0	101.0	33.33333333333333	26576128.0
SRR8843752_1	58.62218894810911	46.0	101.0	33.33333333333333	14314202.0
SRR8843753_1	57.7020436779043	46.0	101.0	33.33333333333333	12577463.0
SRR8843754_1	61.14078641341348	46.0	101.0	33.33333333333333	18541036.0
SRR8843755_1	65.92167197426183	46.0	101.0	25.0	19275024.0
SRR8843757_1	59.86372691164141	46.0	101.0	33.33333333333333	13826835.0
SRR8844339_1	59.11215705541956	45.0	101.0	33.33333333333333	13265881.0
