Module	Section	Sample Name	Source
FastQC	all_sections	SRR8843730_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843730_1_fastqc.zip
FastQC	all_sections	SRR8843736_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843736_1_fastqc.zip
FastQC	all_sections	SRR8843746_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843746_1_fastqc.zip
FastQC	all_sections	SRR8843743_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843743_1_fastqc.zip
FastQC	all_sections	SRR8843748_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843748_1_fastqc.zip
FastQC	all_sections	SRR8843744_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843744_1_fastqc.zip
FastQC	all_sections	SRR8843733_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843733_1_fastqc.zip
FastQC	all_sections	SRR8843747_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843747_1_fastqc.zip
FastQC	all_sections	SRR8843742_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843742_1_fastqc.zip
FastQC	all_sections	SRR8843745_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843745_1_fastqc.zip
FastQC	all_sections	SRR8843754_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843754_1_fastqc.zip
FastQC	all_sections	SRR8843732_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843732_1_fastqc.zip
FastQC	all_sections	SRR8843749_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843749_1_fastqc.zip
FastQC	all_sections	SRR8843735_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843735_1_fastqc.zip
FastQC	all_sections	SRR8843731_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843731_1_fastqc.zip
FastQC	all_sections	SRR8843729_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843729_1_fastqc.zip
FastQC	all_sections	SRR8843741_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843741_1_fastqc.zip
FastQC	all_sections	SRR8843753_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843753_1_fastqc.zip
FastQC	all_sections	SRR8843755_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843755_1_fastqc.zip
FastQC	all_sections	SRR8843751_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843751_1_fastqc.zip
FastQC	all_sections	SRR8843757_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843757_1_fastqc.zip
FastQC	all_sections	SRR8844339_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8844339_1_fastqc.zip
FastQC	all_sections	SRR8843752_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843752_1_fastqc.zip
FastQC	all_sections	SRR8843737_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843737_1_fastqc.zip
FastQC	all_sections	SRR8843738_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843738_1_fastqc.zip
FastQC	all_sections	SRR8843740_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843740_1_fastqc.zip
FastQC	all_sections	SRR8843750_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843750_1_fastqc.zip
FastQC	all_sections	SRR8843739_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843739_1_fastqc.zip
FastQC	all_sections	SRR8843734_1	/gpfs/data/compbio/aconard/perrimon/results/fastQC/SRR8843734_1_fastqc.zip
