"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007219","GO:0007219","Notch signaling pathway","12/42","84/11228",1.2546075414287e-16,1.30855566571013e-13,8.16155221687302e-14,"Nct/aph-1/fng/ebi/kuz/N/Ser/dx/H/Smr/neur/Tace",12
"GO:0007220","GO:0007220","Notch receptor processing","5/42","14/11228",1.11821986786255e-09,5.83151661090319e-07,3.63715725441608e-07,"Nct/aph-1/kuz/dx/Tace",5
"GO:0008593","GO:0008593","regulation of Notch signaling pathway","7/42","75/11228",9.97834581964617e-09,3.46913822996365e-06,2.16372551457591e-06,"fng/ebi/Ser/dx/H/Smr/neur",7
"GO:0006509","GO:0006509","membrane protein ectodomain proteolysis","4/42","10/11228",3.49408101322523e-08,9.11081624198479e-06,5.6824791215084e-06,"Nct/aph-1/kuz/Tace",4
"GO:0033619","GO:0033619","membrane protein proteolysis","4/42","13/11228",1.18001374475228e-07,2.46150867155326e-05,1.53525998790928e-05,"Nct/aph-1/kuz/Tace",4
"GO:0045595","GO:0045595","regulation of cell differentiation","11/42","432/11228",3.50607984878374e-07,6.09473547046907e-05,3.801328678155e-05,"HDAC3/Lasp/Nct/usp/EcR/kuz/N/Ser/Cul1/neur/Hey",11
"GO:0035220","GO:0035220","wing disc development","10/42","385/11228",1.10229502891758e-06,0.000164241959308719,0.0001024388462964,"fng/ebi/EcR/N/smo/Ser/dx/H/Smr/neur",10
"GO:0008587","GO:0008587","imaginal disc-derived wing margin morphogenesis","5/42","53/11228",1.43980872187922e-06,0.000164659883405117,0.000102699508446649,"fng/ebi/N/Ser/H",5
"GO:0009968","GO:0009968","negative regulation of signal transduction","9/42","310/11228",1.6594626422627e-06,0.000164659883405117,0.000102699508446649,"Ube3a/ebi/N/Ser/dx/Cul1/H/Smr/gro",9
"GO:0019827","GO:0019827","stem cell population maintenance","6/42","100/11228",1.73658553926777e-06,0.000164659883405117,0.000102699508446649,"fng/N/smo/Ser/H/neur",6
"GO:0098727","GO:0098727","maintenance of cell number","6/42","100/11228",1.73658553926777e-06,0.000164659883405117,0.000102699508446649,"fng/N/smo/Ser/H/neur",6
"GO:0010648","GO:0010648","negative regulation of cell communication","9/42","336/11228",3.22339289537456e-06,0.000264995975043468,0.000165279822956919,"Ube3a/ebi/N/Ser/dx/Cul1/H/Smr/gro",9
"GO:0023057","GO:0023057","negative regulation of signaling","9/42","337/11228",3.3029220283462e-06,0.000264995975043468,0.000165279822956919,"Ube3a/ebi/N/Ser/dx/Cul1/H/Smr/gro",9
"GO:0009952","GO:0009952","anterior/posterior pattern specification","7/42","179/11228",3.92062108906237e-06,0.000292086271135147,0.000182176228048161,"Lasp/fng/EcR/N/smo/Ser/Hey",7
"GO:0060284","GO:0060284","regulation of cell development","9/42","348/11228",4.29584891174798e-06,0.000298704694330209,0.000186304184383175,"HDAC3/Lasp/Nct/EcR/kuz/N/Cul1/neur/Hey",9
"GO:0050767","GO:0050767","regulation of neurogenesis","8/42","265/11228",5.09935595194064e-06,0.000324555634092979,0.000202427594357835,"HDAC3/Nct/EcR/kuz/N/Cul1/neur/Hey",8
"GO:0051960","GO:0051960","regulation of nervous system development","9/42","357/11228",5.28997677812142e-06,0.000324555634092979,0.000202427594357835,"HDAC3/Ube3a/Nct/EcR/kuz/N/Cul1/neur/Hey",9
