"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR240ADR","ENCFF445KNM","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF445KNM/@@download/ENCFF445KNM.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF392RXP/; /files/ENCFF489ULN/; /files/ENCFF800RTX/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","1f38d4e1c2825d205b2e9e9ae38bb254"
"ENCSR240ADR","ENCFF213RNP","bigWig","bigWig","16.8 Mb","signal","read-depth normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS949BFS/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF213RNP/@@download/ENCFF213RNP.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF489ULN/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","9ad34d28368089c7182548f7a72943b5"
"ENCSR240ADR","ENCFF029XRA","bigWig","bigWig","17.1 Mb","signal","signal of unique reads","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB641KAJ",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF029XRA/@@download/ENCFF029XRA.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF392RXP/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","65b3c5d978bca913c81282bb95b468a3"
"ENCSR240ADR","ENCFF222UEY","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB641KAJ",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF222UEY/@@download/ENCFF222UEY.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF392RXP/; /files/ENCFF800RTX/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","5f055444b3597271a3163aaa6f35fa07"
"ENCSR240ADR","ENCFF467OWR","bigWig","bigWig","17.1 Mb","signal","read-depth normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF467OWR/@@download/ENCFF467OWR.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF392RXP/; /files/ENCFF489ULN/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","bb315bac18e164d5b8384a3096661eaf"
"ENCSR240ADR","ENCFF997UYE","bigWig","bigWig","15.1 Mb","signal","read-depth normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF997UYE/@@download/ENCFF997UYE.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF675JVB/; /files/ENCFF369MVU/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","8afecf1939d07ac1bbda01c297a9bc60"
"ENCSR240ADR","ENCFF403JQY","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS949BFS/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF403JQY/@@download/ENCFF403JQY.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF369MVU/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","3e1adfe2e9ee8543ad62f3a3a8307fe4"
"ENCSR240ADR","ENCFF276ZSG","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS949BFS/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF276ZSG/@@download/ENCFF276ZSG.bigWig","2",NA,NA,NA,"2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF489ULN/; /files/ENCFF800RTX/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","7f0e2c62bb4ac205cbc657e5335ce6f8"
"ENCSR240ADR","ENCFF688PSB","bigWig","bigWig","17 Mb","signal","read-depth normalized signal","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB641KAJ",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF688PSB/@@download/ENCFF688PSB.bigWig","1",NA,NA,NA,"1_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF392RXP/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","727a185c7a43b24158dea8cba32a5ce3"
"ENCSR240ADR","ENCFF224QGN","bigWig","bigWig","15.1 Mb","signal","signal of unique reads","eGFP-Stat92E","chromatin remodeler; recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS642ZQY/","whole organisms","whole organism","strain Stat92E-GFP whole organism embryo (0-12 hours) genetically modified using stable transfection","ChIP-seq against eGFP-Stat92E in D. melanogaster whole organisms (embryonic, 0-12 hour)","ENCLB773WGM",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR659YGJ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF224QGN/@@download/ENCFF224QGN.bigWig","1; 2",NA,NA,NA,"1_1; 2_1","modENCODE","/experiments/ENCSR240ADR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF675JVB/; /files/ENCFF369MVU/",NA,NA,NA,NA,"2017-12-21","/biosample-types/whole_organisms_UBERON_0000468/","2d4ec11a0b1597ca8158c66307300670"
