"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR017FMO","ENCFF034WFE","bigWig","bigWig","17 Mb","signal","signal of unique reads","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS289OKT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB405GBY",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF034WFE/@@download/ENCFF034WFE.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF920HMT/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","24c102e65ed71de99ca8cc3da22b7264"
"ENCSR017FMO","ENCFF509GHL","bigWig","bigWig","16.8 Mb","signal","signal of unique reads","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS597WJG/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB268XBF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF509GHL/@@download/ENCFF509GHL.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF901FQU/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","43d4ca007b4190ea44349b872ff1436a"
"ENCSR017FMO","ENCFF577QCZ","bigWig","bigWig","13.3 Mb","signal","control normalized signal","eGFP-phol","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS410IOT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB405GBY",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF577QCZ/@@download/ENCFF577QCZ.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF875OSZ/; /files/ENCFF901FQU/; /files/ENCFF599PWR/; /files/ENCFF920HMT/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","b5b20ced4b368567bb6b0b7922a392da"
"ENCSR017FMO","ENCFF611WCP","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS597WJG/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB268XBF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF611WCP/@@download/ENCFF611WCP.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF901FQU/; /files/ENCFF875OSZ/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","e2eff4a124dc0f218858b9dff1539bc4"
"ENCSR017FMO","ENCFF559YSU","bigWig","bigWig","17.2 Mb","signal","signal of unique reads","eGFP-phol","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS410IOT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB405GBY",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF559YSU/@@download/ENCFF559YSU.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF901FQU/; /files/ENCFF599PWR/; /files/ENCFF920HMT/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","60f6081eb098699d18c657bf16f6f600"
"ENCSR017FMO","ENCFF382KCU","bigWig","bigWig","16.9 Mb","signal","signal of unique reads","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS410IOT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB396BUV",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF382KCU/@@download/ENCFF382KCU.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF599PWR/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","27065ce4a01125094e2136c2d367634e"
"ENCSR017FMO","ENCFF161FHZ","bigWig","bigWig","16.8 Mb","signal","read-depth normalized signal","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS597WJG/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB268XBF",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF161FHZ/@@download/ENCFF161FHZ.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF901FQU/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","d356e8e07eb8f9e30acfb1e3aed8b7d3"
"ENCSR017FMO","ENCFF619CRN","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS410IOT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB396BUV",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF619CRN/@@download/ENCFF619CRN.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF599PWR/; /files/ENCFF875OSZ/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","c360d747c7f36bfff259c31a5b7ba924"
"ENCSR017FMO","ENCFF915BCA","bigWig","bigWig","17.2 Mb","signal","read-depth normalized signal","eGFP-phol","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS410IOT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB405GBY",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF915BCA/@@download/ENCFF915BCA.bigWig","1; 2; 3",NA,NA,NA,"1_1; 2_1; 3_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF901FQU/; /files/ENCFF599PWR/; /files/ENCFF920HMT/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","08927ee0a60db917558e3b418d6e68b5"
"ENCSR017FMO","ENCFF615EUU","bigWig","bigWig","13.2 Mb","signal","control normalized signal","eGFP-phol","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS289OKT/","whole organisms","whole organism","attP40 whole organism embryo (0-16 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing phol-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB405GBY",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR729AWQ",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF615EUU/@@download/ENCFF615EUU.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR017FMO/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF920HMT/; /files/ENCFF875OSZ/",NA,NA,NA,NA,"2018-12-21","/biosample-types/whole_organisms_UBERON_0000468/","686fe0b65191e988d9fa93370aac3b2a"
