"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098552","GO:0098552","side of membrane","4/30","64/10701",2.8373098678928e-05,0.00111455930924419,0.000844146331776728,"Gprk2/dlp/dally/Sos",4
"GO:0019005","GO:0019005","SCF ubiquitin ligase complex","4/30","68/10701",3.60849062757712e-05,0.00111455930924419,0.000844146331776728,"slmb/Cul3/Roc1a/Cul4",4
"GO:0009986","GO:0009986","cell surface","4/30","72/10701",4.5231656737546e-05,0.00111455930924419,0.000844146331776728,"boi/ihog/dlp/dally",4
"GO:0000151","GO:0000151","ubiquitin ligase complex","5/30","150/10701",5.43687467923994e-05,0.00111455930924419,0.000844146331776728,"Smurf/slmb/Cul3/Roc1a/Cul4",5
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","4/30","102/10701",0.000176243897951033,0.00289039992639694,0.00218913473244441,"slmb/Cul3/Roc1a/Cul4",4
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex","2/30","10/10701",0.000337178397945419,0.00394980409021777,0.00299150759079394,"Pka-C1/Pka-R1",2
"GO:0031463","GO:0031463","Cul3-RING ubiquitin ligase complex","2/30","10/10701",0.000337178397945419,0.00394980409021777,0.00299150759079394,"Cul3/Roc1a",2
"GO:0046658","GO:0046658","anchored component of plasma membrane","2/30","11/10701",0.000411388779738298,0.00421673499231755,0.00319367605323152,"dlp/dally",2
"GO:0031225","GO:0031225","anchored component of membrane","2/30","12/10701",0.000492806384952819,0.00449001372957013,0.00340065224704284,"dlp/dally",2
"GO:0080008","GO:0080008","Cul4-RING E3 ubiquitin ligase complex","2/30","14/10701",0.000677110266495574,0.0055523041852637,0.00420521112876198,"Roc1a/Cul4",2
"GO:0009897","GO:0009897","external side of plasma membrane","2/30","15/10701",0.000779920407134239,0.00581395212590978,0.00440337837520766,"dlp/dally",2
"GO:0098595","GO:0098595","perivitelline space","2/30","18/10701",0.00113052985514232,0.00772528734347254,0.00585098784678921,"dlp/dally",2
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","2/30","27/10701",0.00255324659713874,0.0161050939204136,0.0121976962940231,"dlp/dally",2
"GO:0030139","GO:0030139","endocytic vesicle","2/30","31/10701",0.00335905536662345,0.0196744671473659,0.0149010726790063,"ptc/hh",2
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/30","43/10701",0.00638849822945628,0.0349237903210277,0.0264506242482751,"Gprk2/Sos",2
"GO:0098562","GO:0098562","cytoplasmic side of membrane","2/30","49/10701",0.00823375727969109,0.0421980060584168,0.0319599789145904,"Gprk2/Sos",2
"GO:0016323","GO:0016323","basolateral plasma membrane","2/30","51/10701",0.00889600665794509,0.0429101497618528,0.032499343208592,"ptc/dally",2
