"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005102","GO:0005102","signaling receptor binding","7/29","255/10922",3.50277012544608e-06,0.000304741000913809,0.000169607816600547,"ptc/hh/ihog/Shc/csw/krz/cos",7
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","4/29","51/10922",9.18892326727148e-06,0.000311108619904483,0.000173151802971642,"rdx/Cul3/Cul4/cos",4
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","4/29","53/10922",1.07278834449822e-05,0.000311108619904483,0.000173151802971642,"rdx/Cul3/Cul4/cos",4
"GO:0001664","GO:0001664","G protein-coupled receptor binding","4/29","61/10922",1.88402182453413e-05,0.000409774746836174,0.000228065799812027,"ptc/hh/krz/cos",4
"GO:0019899","GO:0019899","enzyme binding","7/29","477/10922",0.000195784859932168,0.00340665656281972,0.00189602180144836,"rdx/Cul3/Shc/csw/Cul4/cos/Sos",7
"GO:1990782","GO:1990782","protein tyrosine kinase binding","2/29","10/10922",0.000302325687460372,0.0043837224681754,0.0024398213373995,"Shc/csw",2
"GO:0051219","GO:0051219","phosphoprotein binding","2/29","14/10922",0.000607353940108468,0.00754854182706239,0.00420124529999843,"slmb/csw",2
"GO:0019901","GO:0019901","protein kinase binding","3/29","82/10922",0.00129466805581306,0.0128740723272339,0.00716524291654881,"Shc/csw/cos",3
"GO:0008134","GO:0008134","transcription factor binding","4/29","184/10922",0.00133180058557592,0.0128740723272339,0.00716524291654881,"Su(fu)/Bin1/Gug/cos",4
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","4/29","198/10922",0.00174463466343048,0.0151783215718451,0.00844770468608441,"Pka-C1/msn/Gprk2/dco",4
"GO:0019900","GO:0019900","kinase binding","3/29","95/10922",0.00197721851785431,0.0156380010048477,0.00870354562883238,"Shc/csw/cos",3
"GO:0046983","GO:0046983","protein dimerization activity","5/29","386/10922",0.00316583834242354,0.0229523279825707,0.0127744354167967,"rdx/slmb/ihog/cos/Sos",5
"GO:0004672","GO:0004672","protein kinase activity","4/29","256/10922",0.0044146083612054,0.0295439174942208,0.0164430756773642,"Pka-C1/msn/Gprk2/dco",4
"GO:0003714","GO:0003714","transcription corepressor activity","2/29","41/10922",0.00523524915440605,0.0314610993905446,0.0175101097636425,"Bin1/Gug",2
"GO:1901981","GO:1901981","phosphatidylinositol phosphate binding","2/29","43/10922",0.00574627323390761,0.0314610993905446,0.0175101097636425,"ptc/Gprk2",2
"GO:0042803","GO:0042803","protein homodimerization activity","3/29","139/10922",0.0057859493132036,0.0314610993905446,0.0175101097636425,"rdx/ihog/cos",3
"GO:0042802","GO:0042802","identical protein binding","3/29","158/10922",0.00823764745819421,0.0421573722860527,0.0234632683019773,"rdx/ihog/cos",3
"GO:0060090","GO:0060090","molecular adaptor activity","2/29","58/10922",0.0102635387764036,0.0475011615423679,0.0264374280816567,"Cul3/csw",2
"GO:0016773","GO:0016773","phosphotransferase activity, alcohol group as acceptor","4/29","327/10922",0.0103738168885631,0.0475011615423679,0.0264374280816567,"Pka-C1/msn/Gprk2/dco",4
