"","X1","X2","X3","X4"
"ptc",-0.46705391,-0.50245058,-0.529997623,1.49950211
"lncRNA:CR46077",-0.85664053,-0.17923863,-0.403341515,1.43922067
"Smurf",-0.60678363,-0.41784007,-0.470616534,1.49524024
"Su(fu)",-0.52786861,-0.40162568,-0.566773992,1.49626829
"hh",0.07541493,-0.73459026,-0.72810645,1.38728178
"fu",-1.13509252,-0.16489916,0.002159421,1.29783226
"boi",-1.42736745,0.44738638,0.114300424,0.86568065
"rdx",-0.60851343,-0.39500825,-0.49074911,1.49427079
"Pka-C1",-1.15243798,-0.27124454,0.171065355,1.25261716
"lncRNA:CR46076",-0.66503723,-0.31928409,-0.500648211,1.48496953
"CR40354",-0.41327995,-0.51142747,-0.572078439,1.49678585
"Bin1",-1.17678703,-0.00147398,-0.08947859,1.2677396
"slmb",-0.48016138,-0.49581885,-0.523775671,1.4997559
"Cul3",-0.49327817,-0.52714654,-0.479272329,1.49969704
"ihog",-1.40797289,0.24499388,0.206436012,0.956543
"Roc1a",-0.12939841,-0.61479156,-0.706880926,1.4510709
"disp",-0.7266168,-0.81078304,0.206178917,1.33122092
"Shc",-0.40571465,-0.55018738,-0.540826469,1.4967285
"csw",-0.39159495,-0.45360018,-0.645981601,1.49117673
"msn",-0.05945362,-0.66943709,-0.703889427,1.43278014
"Usp8",-0.57245846,-0.59175854,-0.324647404,1.4888644
"Cul4",-0.60376965,-0.87974218,0.124863615,1.35864822
"Gug",-1.11704652,-0.1140528,-0.084948837,1.31604815
"shf",-1.28837141,-0.15439542,0.350254665,1.09251217
"krz",-0.85529672,-0.29775595,-0.29383097,1.44688364
"Gprk2",-1.23879758,-0.1651449,0.226271516,1.17767097
"Pka-R1",0.39838455,-0.73401995,-0.891941445,1.22757685
"dlp",-1.06621293,-0.06930987,-0.211237996,1.34676079
"dally",-1.31724608,0.3174635,-0.076431999,1.07621458
"dco",-0.08190738,-0.71728777,-0.639496501,1.43869165
"flw",0.08039208,-0.68056746,-0.783946394,1.38412178
"cos",-0.96541749,-0.22387089,-0.214876486,1.40416487
"rasp",-0.63925772,-0.88464516,0.192911674,1.33099121
"Sos",-0.7266168,-0.81078304,0.206178917,1.33122092
