"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR073PHL","ENCFF236MAD","bigWig","bigWig","14.9 Mb","signal","signal of unique reads","eGFP-cic","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF236MAD/@@download/ENCFF236MAD.bigWig","1; 3",NA,NA,NA,"1_1; 3_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF218CYR/; /files/ENCFF981PBB/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","52c4621db711be578da130b3dbee7d4a"
"ENCSR073PHL","ENCFF246YFZ","bigWig","bigWig","16.9 Mb","signal","signal of unique reads","eGFP-cic","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF246YFZ/@@download/ENCFF246YFZ.bigWig","1; 3",NA,NA,NA,"1_1; 3_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF303GLD/; /files/ENCFF814JBD/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","f957b55ef11dcca4d9eb808b9eddcdea"
"ENCSR073PHL","ENCFF386WUQ","bigWig","bigWig","16.7 Mb","signal","read-depth normalized signal","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF386WUQ/@@download/ENCFF386WUQ.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF814JBD/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","b786e215a5f01d7808b7c4c5e6f337a0"
"ENCSR073PHL","ENCFF193IKS","bigWig","bigWig","15.1 Mb","signal","control normalized signal","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS135BRU/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB064JOT",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF193IKS/@@download/ENCFF193IKS.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF218CYR/; /files/ENCFF095UPR/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","7a4508d3d61e2b9a6461f9ccd641ad6b"
"ENCSR073PHL","ENCFF413QJT","bigWig","bigWig","14.9 Mb","signal","read-depth normalized signal","eGFP-cic","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF413QJT/@@download/ENCFF413QJT.bigWig","1; 3",NA,NA,NA,"1_1; 3_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF218CYR/; /files/ENCFF981PBB/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","5a27ec9e19142a2b0b1bcf2b3b65ebd0"
"ENCSR073PHL","ENCFF107PNM","bigWig","bigWig","14.7 Mb","signal","read-depth normalized signal","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS135BRU/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB064JOT",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF107PNM/@@download/ENCFF107PNM.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF218CYR/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","d40f59f5d61afcc501a97c503f3f7da0"
"ENCSR073PHL","ENCFF218JJJ","bigWig","bigWig","14.7 Mb","signal","read-depth normalized signal","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF218JJJ/@@download/ENCFF218JJJ.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF981PBB/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","1bf7e59c90365e681ee70b8050aa7bcc"
"ENCSR073PHL","ENCFF867UYV","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF867UYV/@@download/ENCFF867UYV.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF814JBD/; /files/ENCFF196HPS/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","01aa980be66786c1032604f2619be676"
"ENCSR073PHL","ENCFF223UHL","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS135BRU/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB064JOT",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF223UHL/@@download/ENCFF223UHL.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF218CYR/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","dcb03d11eebeb0a653d6f9d8fbd2b98a"
"ENCSR073PHL","ENCFF889MRC","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-cic","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS993NGC/","whole organisms","whole organism","VK00037 whole organism adult genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing cic-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB102QIA",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR860XAM",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF889MRC/@@download/ENCFF889MRC.bigWig","1",NA,NA,NA,"1_1","modERN","/experiments/ENCSR073PHL/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF981PBB/",NA,NA,NA,NA,"2017-12-14","/biosample-types/whole_organisms_UBERON_0000468/","c457124c61ae616dc00f41e33034bebd"
