"accession","file_accession","file_type","file_format","file_size","output_category","output_type","target","investigated_as","nucleic_acid_term","assay","treatment_id","treatment","treatment_amount","treatment_amount_unit","treatment_duration","treatment_duration_unit","treatment_temperature","treatment_temperature_unit","treatment_notes","biosample_id","biosample_type","biosample_name","dataset_biosample_summary","dataset_description","replicate_libraries","replicate_antibody","antibody_target","antibody_characterization","antibody_caption","organism","dataset_type","assembly","status","controls","controlled_by","lab","run_type","read_length","paired_end","paired_with","platform","href","biological_replicates","biological_replicate_number","technical_replicate_number","replicate_list","technical_replicates","project","dataset","dbxrefs","superseded_by","file_status","submitted_by","library","derived_from","file_format_type","file_format_specifications","genome_annotation","external_accession","date_released","biosample_ontology","md5sum"
"ENCSR776AVR","ENCFF121IXS","bigWig","bigWig","16.5 Mb","signal","read-depth normalized signal","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS556OUZ/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF121IXS/@@download/ENCFF121IXS.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF779BGD/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","605cda4795320dec008e4aa3562e39e0"
"ENCSR776AVR","ENCFF649JJR","bigWig","bigWig","16.6 Mb","signal","signal of unique reads","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS577PUR/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB248EKP",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF649JJR/@@download/ENCFF649JJR.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF078OTN/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","7476ad2e5c8558a450969c898fe8f48f"
"ENCSR776AVR","ENCFF412XLH","bigWig","bigWig","16.6 Mb","signal","signal of unique reads","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS556OUZ/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF412XLH/@@download/ENCFF412XLH.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF779BGD/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","d1f7e3f6251ae020f9b12276fc220b79"
"ENCSR776AVR","ENCFF315RLO","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS556OUZ/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF315RLO/@@download/ENCFF315RLO.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF779BGD/; /files/ENCFF754XYG/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","3d4b9aba13ee5852adb609a63a9ace7a"
"ENCSR776AVR","ENCFF004LQS","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-CG7786","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS577PUR/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF004LQS/@@download/ENCFF004LQS.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF779BGD/; /files/ENCFF078OTN/; /files/ENCFF754XYG/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","ea18d461aa98351e6eb15df2756a6bee"
"ENCSR776AVR","ENCFF416RKP","bigWig","bigWig","16.7 Mb","signal","signal of unique reads","eGFP-CG7786","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS577PUR/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF416RKP/@@download/ENCFF416RKP.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF779BGD/; /files/ENCFF078OTN/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","f4caf8062d983e41a7498ab9ee642330"
"ENCSR776AVR","ENCFF202KEJ","bigWig","bigWig","16.5 Mb","signal","control normalized signal","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS577PUR/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB248EKP",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF202KEJ/@@download/ENCFF202KEJ.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF078OTN/; /files/ENCFF754XYG/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","925a86c3fc4ed196eea7184d4afe837a"
"ENCSR776AVR","ENCFF660OTM","bigWig","bigWig","14.7 Mb","signal","signal of unique reads","eGFP-CG7786","recombinant protein; transcription factor",NA,"TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS577PUR/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF660OTM/@@download/ENCFF660OTM.bigWig","2; 3",NA,NA,NA,"2_1; 3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF630CCE/; /files/ENCFF332TSW/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","d46ba58758905eaf8c281428fe28dc57"
"ENCSR776AVR","ENCFF957JBJ","bigWig","bigWig","16.6 Mb","signal","read-depth normalized signal","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS577PUR/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB248EKP",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm6","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF957JBJ/@@download/ENCFF957JBJ.bigWig","2",NA,NA,NA,"2_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF078OTN/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","3b224d8ffe94063384ccd20a288dee93"
"ENCSR776AVR","ENCFF159XOR","bigWig","bigWig","15.1 Mb","signal","control normalized signal","eGFP-CG7786","recombinant protein; transcription factor","DNA","TF ChIP-seq",NA,NA,NA,NA,NA,NA,NA,NA,NA,"/biosamples/ENCBS556OUZ/","whole organisms","whole organism","VK00037 whole organism embryo (0-24 hours) genetically modified using site-specific recombination","ChIP-seq on transgenic flies expressing CG7786-eGFP fusion proteins.  The IP was performed using an anti-GFP antibody.","ENCLB466WZW",NA,NA,NA,NA,"Drosophila melanogaster","experiments","dm3","released","ENCSR841LDV",NA,"Kevin White, UChicago",NA,NA,NA,NA,NA,"/files/ENCFF159XOR/@@download/ENCFF159XOR.bigWig","3",NA,NA,NA,"3_1","modERN","/experiments/ENCSR776AVR/",NA,NA,"released","Alec Victorsen",NA,"/files/ENCFF630CCE/; /files/ENCFF131AJL/",NA,NA,NA,NA,"2016-07-06","/biosample-types/whole_organisms_UBERON_0000468/","37b55637eacd42b5c83cf3be99ca8f6f"
