gene_name,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
rdx,FBgn0264493,385.147885207807,4.59421482343491,0.163309329926869,1584.01766494586,0,0
CG31808,FBgn0062978,3766.09862314033,-0.72370899318516,0.132100192810235,3676.7684438477,0,0
tow,FBgn0035719,1339.92001310762,-5.16857041858128,1.11437738578429,1476.45219364519,1.82497474195194e-318,8.88154390885465e-317
Bin1,FBgn0024491,4079.1719613381,2.88549734392523,0.0905004675568255,1406.15925660121,3.19167652362363e-303,1.16496193112262e-301
Gug,FBgn0010825,1272.03099498413,1.80943967569794,0.0717792531563366,1183.73020099368,5.36054207436133e-255,1.56527828571351e-253
boi,FBgn0040388,414.849731696456,3.54583579219549,0.146403975474233,1120.38926304732,2.88188233738623e-241,7.01258035430649e-240
Ser,FBgn0004197,248.040068800363,-6.60568421849826,0.291515248218894,1098.10232841682,1.95214552688668e-236,4.0716178132208e-235
N,FBgn0004647,85.0038164774906,-4.79913872873052,0.324329306332553,859.351608330558,1.06738161233518e-184,1.94797144251171e-183
Gprk2,FBgn0261988,302.216429612002,3.75329056823805,0.176986197474481,853.651791848159,1.83288718703516e-183,2.97335032563482e-182
ebi,FBgn0263933,333.899971047798,-3.86548622642284,0.264687228103049,842.380806928457,5.06804313168805e-181,7.39934297226455e-180
CG40160,FBgn0058160,450.977421294893,-4.60764589076653,0.178862882481242,774.203444554562,2.97032280604e-166,3.94242845165308e-165
lncRNA:CR46077,FBgn0267746,828.274673680791,3.67406744547171,0.158110555662334,744.321764267331,8.79991789588185e-160,1.07065667733229e-158
CR40354,FBgn0058354,256.512850711862,3.17899981421241,0.158709937563455,742.41238707873,2.28024805046163e-159,2.5608939643646e-158
dco,FBgn0002413,195.41078370608,2.64762194762816,0.198189510925042,711.751351511717,9.94660161078394e-153,1.03728845369604e-151
Egfr,FBgn0003731,903.042041023513,0.599033097219731,0.101234173407641,707.227765562889,9.48850339737723e-152,9.23547664011384e-151
fu,FBgn0001079,263.724065232093,3.70819816786168,0.191987696728369,689.445121200981,6.72390957970008e-148,6.13556749147633e-147
dx,FBgn0000524,218.760466670065,-8.35148111710671,0.506180008418294,663.597134759976,2.65396096909364e-142,2.27928412639807e-141
Smurf,FBgn0029006,228.747849265821,3.98127859305259,0.209192474748136,663.131420076535,3.34748939865167e-142,2.71518584557302e-141
ptc,FBgn0003892,366.638845527114,2.82985964120691,0.159539861842831,642.200635299647,1.13735243150406e-137,8.73965552629435e-137
Ctr1B,FBgn0062412,83.0887683111857,-3.43472139353078,0.322536262539874,572.0507875845,1.73248751374306e-122,1.26471588503243e-121
CG34056,FBgn0054056,102.379515878583,-5.2834807169304,0.350112095561973,551.414527580392,5.05681744029661e-118,3.51569212515859e-117
lncRNA:CR46113,FBgn0267782,19719.04575469,-2.74730300156491,0.127402893372645,535.335985594201,1.52224191764984e-114,1.01021509080399e-113
loj,FBgn0061492,258.40046397819,-3.22023894309548,0.162461344170574,521.052448960727,1.87246436453523e-111,1.18860781400932e-110
CG18003,FBgn0061356,82.2469305503391,-4.34590857803583,0.333446568036868,510.435708411368,3.70598472532717e-109,2.25447404124069e-108
slmb,FBgn0283468,74.2226610765246,4.65243851017651,0.341361194052862,485.526341214355,9.04196217747887e-104,5.28050591164766e-103
Nct,FBgn0039234,66.1560462592963,-4.14624342282005,0.350861643665913,478.56366162359,2.89695794819666e-102,1.62675330937197e-101
