gene_name,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
rdx,FBgn0264493,385.147885207807,-0.0929885610278355,0.100624644774292,1584.01766494586,0,0
CG31808,FBgn0062978,3766.09862314033,-0.132871099261028,0.107408037281654,3676.7684438477,0,0
tow,FBgn0035719,1339.92001310762,-0.0221272618973797,0.141597068265248,1476.45219364519,1.82497474195194e-318,8.88154390885465e-317
Bin1,FBgn0024491,4079.1719613381,0.0355702102590616,0.0719441886355552,1406.15925660121,3.19167652362363e-303,1.16496193112262e-301
Gug,FBgn0010825,1272.03099498413,-0.000670244042852643,0.0592528553680512,1183.73020099368,5.36054207436133e-255,1.56527828571351e-253
boi,FBgn0040388,414.849731696456,0.0227654462853689,0.0884388329161531,1120.38926304732,2.88188233738623e-241,7.01258035430649e-240
Ser,FBgn0004197,248.040068800363,0.10297624010522,0.133773581062888,1098.10232841682,1.95214552688668e-236,4.0716178132208e-235
N,FBgn0004647,85.0038164774906,-0.109161362477814,0.13983992271734,859.351608330558,1.06738161233518e-184,1.94797144251171e-183
Gprk2,FBgn0261988,302.216429612002,-0.232888389779904,0.104242510895691,853.651791848159,1.83288718703516e-183,2.97335032563482e-182
ebi,FBgn0263933,333.899971047798,-0.0341717559202352,0.137492510240352,842.380806928457,5.06804313168805e-181,7.39934297226455e-180
CG40160,FBgn0058160,450.977421294893,-0.0607604611597389,0.108302319025732,774.203444554562,2.97032280604e-166,3.94242845165308e-165
lncRNA:CR46077,FBgn0267746,828.274673680791,0.0567003383016352,0.105272404085846,744.321764267331,8.79991789588185e-160,1.07065667733229e-158
CR40354,FBgn0058354,256.512850711862,-0.104506678030567,0.105093294553177,742.41238707873,2.28024805046163e-159,2.5608939643646e-158
dco,FBgn0002413,195.41078370608,-0.133278092999096,0.124454669014248,711.751351511717,9.94660161078394e-153,1.03728845369604e-151
Egfr,FBgn0003731,903.042041023513,0.00386015289653424,0.0773237191092258,707.227765562889,9.48850339737723e-152,9.23547664011384e-151
fu,FBgn0001079,263.724065232093,-0.136312534116884,0.112069797433137,689.445121200981,6.72390957970008e-148,6.13556749147633e-147
dx,FBgn0000524,218.760466670065,0.232679329811193,0.140078878044088,663.597134759976,2.65396096909364e-142,2.27928412639807e-141
Smurf,FBgn0029006,228.747849265821,-0.0529132149471217,0.119957348551704,663.131420076535,3.34748939865167e-142,2.71518584557302e-141
ptc,FBgn0003892,366.638845527114,-0.0699999033651977,0.10785910782432,642.200635299647,1.13735243150406e-137,8.73965552629435e-137
Ctr1B,FBgn0062412,83.0887683111857,-0.0908875112550924,0.141089772830387,572.0507875845,1.73248751374306e-122,1.26471588503243e-121
CG34056,FBgn0054056,102.379515878583,-0.0516476632240172,0.134674286622942,551.414527580392,5.05681744029661e-118,3.51569212515859e-117
lncRNA:CR46113,FBgn0267782,19719.04575469,0.135233289885681,0.0933987378986695,535.335985594201,1.52224191764984e-114,1.01021509080399e-113
loj,FBgn0061492,258.40046397819,-0.0716184637653596,0.106010882043897,521.052448960727,1.87246436453523e-111,1.18860781400932e-110
CG18003,FBgn0061356,82.2469305503391,0.139923944234916,0.140054392565183,510.435708411368,3.70598472532717e-109,2.25447404124069e-108
slmb,FBgn0283468,74.2226610765246,-0.0901452432657072,0.138195724886776,485.526341214355,9.04196217747887e-104,5.28050591164766e-103
Nct,FBgn0039234,66.1560462592963,-0.18838624145439,0.140900183162673,478.56366162359,2.89695794819666e-102,1.62675330937197e-101
lncRNA:CR46076,FBgn0267745,2408.41056499401,0.0556523907194236,0.116568149256996,475.223697406798,1.52818973737046e-101,8.26354450578099e-101
CG40006,FBgn0058006,130.156809737311,0.114017881182955,0.138710219996643,461.973571855782,1.1198935076851e-98,5.83944471864376e-98
Su(fu),FBgn0005355,361.258336276096,0.0528267734219268,0.105904933468228,452.30103451568,1.38163079773395e-96,6.95579642997093e-96
H,FBgn0001169,576.402311285139,0.0718539596610824,0.131075350604435,441.432355645197,3.09014805650103e-94,1.50387205416383e-93
kuz,FBgn0259984,158.270257782328,-0.185640224832254,0.138632499940081,409.194481112003,2.86790456548591e-87,1.35069053729336e-86
fng,FBgn0011591,98.6286676584617,-0.0443467234274763,0.139832659502874,396.388218012245,1.67752346329684e-84,7.65370080129185e-84
pain,FBgn0060296,393.178701489654,0.0100450370751497,0.112795288209527,377.528251993574,1.99065414648488e-80,8.80713652687252e-80
Cul1,FBgn0015509,570.935053071673,0.156505494929028,0.131983885132882,376.689785114568,3.0206893371313e-80,1.2971195388858e-79
Apc,FBgn0015589,71.6051179571852,0.30705153721599,0.139184045716748,362.722469303503,3.13869476800062e-77,1.30928410322312e-76
Smr,FBgn0265523,558.388355236289,0.146872158506899,0.137287048361323,355.894824137987,9.35720817322778e-76,3.79486775914238e-75
usp,FBgn0003964,28.1163749689469,0.0194518714537541,0.136705181269798,330.085149794914,3.4925280474558e-70,1.37813268899607e-69
aph-1,FBgn0031458,53.9475360353874,0.0945295626149831,0.140374066901104,316.858372892524,2.49831033120723e-67,9.59877127253306e-67
csw,FBgn0000382,1194.59328451223,0.0119131988038067,0.114929047735969,287.480736540634,5.43176417948701e-61,2.03342966719257e-60
gro,FBgn0001139,53.0856402025512,0.323175601390553,0.140054987548433,255.728681967068,3.79625201772747e-54,1.38563198647053e-53
arm,FBgn0000117,1775.53548020787,0.0381292972843051,0.120946735054763,248.948749642558,1.09653100788801e-52,3.90472017443047e-52
Pka-R1,FBgn0259243,265.470385028202,0.16947253846375,0.0969746728433787,240.355825860072,7.77712422631638e-51,2.70347651676712e-50
EcR,FBgn0000546,26.7286290608988,-0.107108173991138,0.135064232361383,236.546894789703,5.14088883259871e-50,1.74551109199863e-49
disp,FBgn0029088,132.737485728307,-0.0102743404578024,0.125648359255319,236.291841610517,5.83388297208916e-50,1.89277091983337e-49
Sos,FBgn0001965,132.737485728307,-0.0102743404578024,0.125648359255319,236.291841610517,5.83388297208916e-50,1.89277091983337e-49
flw,FBgn0000711,234.497818294593,-0.0533689158515533,0.112273747775406,217.465096976533,6.58248160118984e-46,2.08922242124721e-45
Ctr1A,FBgn0062413,469.054288433805,-0.0532573189233844,0.102013443097821,211.391929575371,1.33344076552251e-44,4.14217769715504e-44
gish,FBgn0250823,101.459843250688,-0.128054982085935,0.105172682567945,207.158808360201,1.08513179550072e-43,3.30060921131469e-43
CG34043,FBgn0054043,14.3042450694647,0.126158802774476,0.132675732086598,206.897849836285,1.23482872439479e-43,3.67928558697223e-43
CG34054,FBgn0054054,17.4685627901672,-0.0427293446153826,0.11607271167915,191.200876875026,2.92574328270413e-40,8.54317038549605e-40
fz,FBgn0001085,963.725682247729,-0.0476118290294684,0.0889223526077241,189.170503497065,7.98983819770485e-40,2.28728701346061e-39
Cow,FBgn0039054,413.927925275988,-0.0581157508183638,0.0898588538603174,185.57757421334,4.72598889277538e-39,1.32691226604847e-38
dlp,FBgn0041604,203.607172793694,0.0889125590837078,0.0957300180814768,169.92655216622,1.08450358228365e-35,2.98750043421535e-35
Lasp,FBgn0063485,134.98164486127,-0.00431491461738923,0.118451782821027,165.323295181575,1.05445730393023e-34,2.85094011803359e-34
krz,FBgn0040206,405.773087284076,-0.00449998792084919,0.119203665659575,163.568268662044,2.50927849453967e-34,6.66099382186893e-34
wg,FBgn0284084,14.8984861707034,-0.113279289361346,0.131279853741985,152.68066486187,5.42276660718604e-32,1.41379272258779e-31
CG40298,FBgn0058298,13.925619844157,0.0292441134894664,0.109362743471693,138.946079441665,4.74531681194459e-29,1.21546711323493e-28
