gene_name,gene_id,p,padj,loglik_full,loglik_red,df_full,df_red,mean,converge_impulse,converge_const,converge_sigmoid,impulseTOsigmoid_p,impulseTOsigmoid_padj,sigmoidTOconst_p,sigmoidTOconst_padj,isTransient,isMonotonous,allZero
CG40160,FBgn0058160,0,0,-69.7415926689517,-909.363227443524,10,5,416.505968923338,0,0,0,6.64089337957576e-58,5.24630576986485e-56,1.02919568293803e-306,2.43919376856312e-304,FALSE,TRUE,FALSE
tow,FBgn0035719,0,0,-67.6236908218957,-1100.27449731987,10,5,1674.40744714959,0,0,0,8.18967528326348e-254,1.94095304213345e-251,9.81024425506334e-195,3.87504648075002e-193,TRUE,FALSE,FALSE
ebi,FBgn0263933,2.47032822920623e-323,1.95155930107292e-321,-55.0815406485366,-807.474422446089,10,5,251.9599018783,0,0,0,1.5116461643374e-45,7.16520281895928e-44,3.3071055542991e-281,3.91892008184443e-279,TRUE,FALSE,FALSE
rdx,FBgn0264493,2.26309352113833e-239,1.34088291127446e-237,-80.3789792045532,-639.086523671948,10,5,441.566029033609,0,0,0,9.26529476226891e-12,1.15572360981986e-10,6.39566627028246e-231,5.05257635352315e-229,FALSE,TRUE,FALSE
Smurf,FBgn0029006,6.24346858080173e-227,2.95940410730002e-225,-70.3764405564962,-600.359133375365,10,5,261.721934345995,0,0,0,6.79156272661791e-08,5.74857273645873e-07,2.55628585916202e-222,1.2116794972428e-220,FALSE,TRUE,FALSE
ptc,FBgn0003892,8.53164203224509e-221,3.36999860273681e-219,-75.5615312062966,-591.375899077296,10,5,409.258082511955,0,0,0,0.217658158281549,0.758602698716574,1.13598321672407e-222,6.73070055909009e-221,FALSE,TRUE,FALSE
Ser,FBgn0004197,8.64543051972563e-172,2.92709576167853e-170,-50.5634460311949,-453.167020254582,10,5,96.891668028694,0,0,0,0.60809810228685,1,5.28056159751269e-174,1.7878472837293e-172,FALSE,TRUE,FALSE
Gug,FBgn0010825,8.82522781893067e-161,2.61447374135821e-159,-90.0843164539367,-467.241185418055,10,5,1486.5813574553,0,0,0,1.07672951539909e-17,2.37618875801664e-16,3.07862251882738e-146,9.12041921202612e-145,FALSE,TRUE,FALSE
fng,FBgn0011591,9.61931009969931e-140,2.53308499292082e-138,-41.948031627985,-370.457902144383,10,5,73.8776621087798,0,0,0,2.56144254966181e-15,4.04707922846566e-14,1.6200441432239e-127,3.49045874494604e-126,TRUE,FALSE,FALSE
N,FBgn0004647,6.35685992118438e-136,1.5065758013207e-134,-35.3255645465584,-354.998556263645,10,5,88.9429808800519,0,0,0,1.51505332539924e-09,1.43627055247848e-08,1.89948126578084e-129,4.50177059990059e-128,TRUE,FALSE,FALSE
CG40006,FBgn0058006,7.11317798646132e-131,1.5325665298103e-129,-41.8807054590005,-349.872697617902,10,5,82.2033358442106,0,0,0,0.875255385253522,1,3.94436405160725e-133,1.03868253358991e-131,FALSE,TRUE,FALSE
slmb,FBgn0283468,3.31351306326938e-125,6.41530556491852e-124,-56.2713507045583,-351.146707171135,10,5,80.7243646397539,0,0,0,0.418063686773217,1,4.01222443028333e-127,7.92414324980958e-126,FALSE,TRUE,FALSE
Egfr,FBgn0003731,3.51894398075699e-125,6.41530556491852e-124,-88.6088685121886,-383.423766478435,10,5,1078.33315001685,0,0,0,3.68092681042444e-50,2.18094913517648e-48,3.80220227449972e-78,3.00373979685478e-77,TRUE,FALSE,FALSE
CG34056,FBgn0054056,3.62114921249885e-122,6.13008830973019e-121,-54.2157972261343,-342.058532309177,10,5,107.654414866409,0,0,0,0.00962979290597118,0.0430615267682108,1.93703672729268e-122,3.53136695667973e-121,FALSE,TRUE,FALSE
CR40354,FBgn0058354,3.4415046940328e-121,5.43757741657182e-120,-74.610205033326,-360.189436761786,10,5,310.350180864341,0,0,0,0.00426756310195233,0.020550546021912,4.18059171588224e-121,7.07714454760065e-120,FALSE,TRUE,FALSE
Bin1,FBgn0024491,1.11635619073186e-109,1.65360260752157e-108,-146.463551053356,-405.391183767049,10,5,4722.69380097,0,0,0,0.100988263633023,0.386035781952039,6.35102132539417e-111,1.00346136941228e-109,FALSE,TRUE,FALSE
lncRNA:CR46113,FBgn0267782,1.65683986003052e-109,2.30982968721901e-108,-135.356690549647,-393.887187613736,10,5,15994.3365182511,0,0,0,5.54501704143515e-18,1.46018782091126e-16,1.58925477060548e-94,2.09251878129721e-93,FALSE,TRUE,FALSE
Apc,FBgn0015589,1.34871121396514e-103,1.77580309838743e-102,-53.603608386291,-298.443064870935,10,5,86.4733520415761,0,0,0,1.88952429049408e-33,7.46362094745163e-32,3.62681896605219e-73,2.77276159662699e-72,TRUE,FALSE,FALSE
H,FBgn0001169,7.30076312451165e-103,9.10674137110137e-102,-83.8352645736425,-326.975487802571,10,5,385.940689425974,0,0,0,5.55313604021869e-16,1.01237941656295e-14,7.4738626997179e-90,9.32266031491127e-89,FALSE,TRUE,FALSE
dx,FBgn0000524,2.62772642874192e-102,3.11385581805917e-101,-43.3716162213402,-285.223175775425,10,5,81.032657266673,0,0,0,0.891262231139109,1,1.82061609002285e-104,2.69678758334635e-103,FALSE,TRUE,FALSE
arm,FBgn0000117,7.38385934239223e-102,8.33321268641408e-101,-103.779393028012,-344.591340118202,10,5,2174.71815455775,0,0,0,2.61316164672836e-26,8.84741871820889e-25,1.5244055174039e-78,1.24580726767146e-77,TRUE,FALSE,FALSE
lncRNA:CR46077,FBgn0267746,6.63708791546471e-95,7.14995379984153e-94,-97.7917123216343,-322.488737591739,10,5,847.186705699355,0,0,0,1.10287241933262e-17,2.37618875801664e-16,3.6371835243281e-80,3.19263887135466e-79,FALSE,TRUE,FALSE
Cul1,FBgn0015509,1.09753206206456e-90,1.13093521177957e-89,-84.9136367174705,-299.830899103244,10,5,379.149300353035,0,0,0,2.15535446067251e-10,2.1284125299141e-09,3.35021786556617e-83,3.17600653655673e-82,FALSE,TRUE,FALSE
CG18003,FBgn0061356,6.39842404021101e-90,6.31844373970837e-89,-46.748460502081,-259.89035070015,10,5,68.5387716335046,0,0,0,0.00448178816340395,0.020827133229936,9.87307599055014e-90,1.16995950488019e-88,FALSE,TRUE,FALSE
Gprk2,FBgn0261988,2.63194821948613e-87,2.49508691207285e-86,-77.4197754760625,-284.49915949479,10,5,434.936687099873,0,0,0,0.000915710029357526,0.00504705295250543,2.03680876019682e-86,2.0987985920289e-85,FALSE,TRUE,FALSE
Nct,FBgn0039234,4.88490767882896e-87,4.45278123031717e-86,-43.8936613900501,-250.350122157964,10,5,66.1039275847217,0,0,0,0.0025702588697965,0.0129606670668462,1.35426878591086e-86,1.45891682845851e-85,FALSE,TRUE,FALSE
