timepoint,regulator,regulated,regulation_type,edge_type,cluster_regulator,cluster_regulated
1,EcR,usp,obs_obs_known_int,r,1,1
1,usp,EcR,obs_obs_known_int,r,1,1
1,Hey,EcR,obs_obs_pred_int,r,1,1
1,EcR,Hey,obs_obs_pred_int,r,1,1
1,Hey,usp,obs_obs_pred_int,a,1,1
1,usp,Hey,obs_obs_pred_int,a,1,1
2,Stat92E,pan,pred_obs_known_int,a,2,2
2,Stat92E,ovo,pred_obs_pred_int,a,2,2
2,Stat92E,en,pred_obs_pred_int,a,2,2
2,usp,ovo,obs_obs_pred_int,a,1,2
2,usp,en,obs_obs_pred_int,a,1,2
2,usp,pan,obs_obs_pred_int,a,1,2
2,EcR,ovo,obs_obs_pred_int,a,1,2
2,EcR,en,obs_obs_pred_int,a,1,2
2,EcR,pan,obs_obs_known_int,a,1,2
2,Hey,ovo,obs_obs_pred_int,a,1,2
2,Hey,en,obs_obs_pred_int,a,1,2
2,Hey,pan,obs_obs_pred_int,a,1,2
2,pan,ovo,obs_obs_known_int,a,2,2
2,ovo,pan,obs_obs_known_int,a,2,2
2,en,pan,obs_obs_known_int,a,2,2
2,pan,en,obs_obs_known_int,a,2,2
2,ovo,en,obs_obs_pred_int,a,2,2
2,en,ovo,obs_obs_pred_int,a,2,2
4,Stat92E,pan,pred_obs_known_int,r,2,2
4,ovo,pan,obs_obs_known_int,r,2,2
4,pan,ovo,obs_obs_known_int,r,2,2
4,ovo,en,obs_obs_pred_int,r,2,2
4,en,ovo,obs_obs_pred_int,r,2,2
4,Stat92E,ovo,pred_obs_pred_int,r,2,2
4,Stat92E,en,pred_obs_pred_int,r,2,2
4,ci,ovo,pred_obs_pred_int,r,3,2
4,en,pan,obs_obs_known_int,r,2,2
4,pan,en,obs_obs_known_int,r,2,2
4,ci,en,pred_obs_known_int,r,3,2
4,ci,pan,pred_obs_known_int,r,3,2
