"A_gene_name"	"B_gene_name"	"from"	"to"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"	"pubmed_ids"
"en"	"Hey"	"7227.FBpp0087197"	"7227.FBpp0087945"	0	0	0	0	0	0	0	0	0	0	0	199	0	199	"PMID:9524128, PMID:9247331, PMID:8913771, PMID:8913747, PMID:8583898, PMID:8542595, PMID:8001781, PMID:7828847, PMID:3215512, PMID:24684754, PMID:24303070, PMID:23134684, PMID:22992470, PMID:22319573, PMID:22276200, PMID:21940430, PMID:21857973, PMID:21799798, PMID:21635778, PMID:21593603, PMID:21527733, PMID:2110921, PMID:20974966, PMID:20877431, PMID:20634899, PMID:20605912, PMID:20458100, PMID:2044964, PMID:20433734, PMID:20149264, 
    PMID:1976571, PMID:19684108, PMID:19247939, PMID:19018274, PMID:19008336, PMID:18690061, PMID:18679713, PMID:18203871, PMID:17898168, PMID:17636127, PMID:17615350, PMID:17393834, PMID:17237346, PMID:1689686, PMID:1684335, PMID:1655573, PMID:15901668, PMID:1551578, PMID:15252443, PMID:15169758, PMID:1427077, PMID:1349545, PMID:1340474, PMID:12117818, PMID:10666702, PMID:10207145"
"en"	"ci"	"7227.FBpp0087197"	"7227.FBpp0088245"	0	0	0	0	0	0	0	942	0	0	0	820	0	989	"PMID:9887101, PMID:9876186, PMID:9729484, PMID:9655800, PMID:9655799, PMID:9654021, PMID:9654017, PMID:9654015, PMID:9654013, PMID:9654009, PMID:9649421, PMID:9502727, PMID:9482888, PMID:9427752, PMID:9412507, PMID:9409685, PMID:9407023, PMID:9374402, PMID:9367988, PMID:9367427, PMID:9367426, PMID:9310318, PMID:9303540, PMID:9216995, PMID:9187142, PMID:9187141, PMID:9184326, PMID:9122207, PMID:9102309, PMID:9093856, PMID:9056781, 
    PMID:9053330, PMID:9053307, PMID:9043065, PMID:9023986, PMID:9012514, PMID:9006081, PMID:9006079, PMID:9006071, PMID:9006069, PMID:8918894, PMID:8898240, PMID:8861096, PMID:8849895, PMID:8846898, PMID:8769644, PMID:8735921, PMID:8681806, PMID:8658135, PMID:8600026, PMID:8595881, PMID:8575316, PMID:8562421, PMID:8330533, PMID:8306894, PMID:8288124, PMID:8049466, PMID:8026632, PMID:8005445, PMID:8001776, PMID:7926775, PMID:7915130, PMID:7851791, 
    PMID:7705626, PMID:7601002, PMID:7600986, PMID:7600980, PMID:7588079, PMID:7588077, PMID:7588069, PMID:7547470, PMID:7498743, PMID:7498739, PMID:6809878, PMID:3928797, PMID:3147217, PMID:2707602, PMID:2501154, PMID:25009998, PMID:24755288, PMID:24625679, PMID:24614804, PMID:24385925, PMID:24385484, PMID:24339784, PMID:24244857, PMID:24244188, PMID:24236213, PMID:24068944, PMID:23991696, PMID:2384212, PMID:23810931, PMID:23285116, PMID:23227236, 
    PMID:23139817, PMID:23026836, PMID:22808194, PMID:22649582, PMID:22479597, PMID:22457346, PMID:22199256, PMID:22190496, PMID:22114271, PMID:22095083, PMID:21868604, PMID:21690416, PMID:2166702, PMID:21653228, PMID:21559470, PMID:21527048, PMID:21518956, PMID:21490725, PMID:21483667, PMID:21379328, PMID:21283785, PMID:2111263, PMID:21098717, PMID:20980661, PMID:2081466, PMID:20647470, PMID:20644714, PMID:20543996, PMID:20433734, PMID:20332148, 
    PMID:20215351, PMID:20058833, PMID:20048000, PMID:19917092, PMID:19906854, PMID:19876817, PMID:19837867, PMID:19789708, PMID:19787036, PMID:19740772, PMID:19737745, PMID:19589040, PMID:19557685, PMID:19487563, PMID:19474148, PMID:19282966, PMID:19210960, PMID:19197358, PMID:19164706, PMID:19119410, PMID:19088085, PMID:19064711, PMID:19040769, PMID:19029800, PMID:19004860, PMID:18987629, PMID:18956339, PMID:18815277, PMID:18794343, PMID:18690062, 
    PMID:18689831, PMID:18687053, PMID:18647734, PMID:18592266, PMID:18562658, PMID:18508864, PMID:18493305, PMID:18493062, PMID:18434279, PMID:18392879, PMID:18379584, PMID:18371203, PMID:18284698, PMID:18245841, PMID:18219274, PMID:18171611, PMID:18050469, PMID:17961242, PMID:17928586, PMID:17881487, PMID:17848995, PMID:17785526, PMID:17702759, PMID:17571073, PMID:17483466, PMID:17409066, PMID:17355624, PMID:17248233, PMID:17247906, PMID:17247835, 
    PMID:17247614, PMID:17247557, PMID:17247440, PMID:17247433, PMID:17183721, PMID:17170765, PMID:17108000, PMID:17102630, PMID:17090321, PMID:17002517, PMID:17000779, PMID:16942622, PMID:16873581, PMID:1683847, PMID:16825303, PMID:1682161, PMID:16799462, PMID:16651542, PMID:16613483, PMID:16547170, PMID:16481469, PMID:16467357, PMID:16451739, PMID:16423832, PMID:16396912, PMID:16236766, PMID:16207758, PMID:16197551, PMID:16079280, PMID:15930099, 
    PMID:15930098, PMID:15888661, PMID:15753212, PMID:15750186, PMID:15741323, PMID:15647323, PMID:15598741, PMID:15592446, PMID:15590745, PMID:15542847, PMID:15456724, PMID:15342477, PMID:15282166, PMID:15215207, PMID:15208707, PMID:15198976, PMID:15175250, PMID:15143183, PMID:15128656, PMID:15123884, PMID:15090595, PMID:15039437, PMID:15031107, PMID:14998928, PMID:14756346, PMID:14729575, PMID:14712829, PMID:1468628, PMID:14602684, PMID:14597665, 
    PMID:14597576, PMID:14573515, PMID:14526388, PMID:14522878, PMID:1353439, PMID:1340474, PMID:1340472, PMID:12975340, PMID:12971988, PMID:12954721, PMID:1289061, PMID:12853478, PMID:12835386, PMID:12756186, PMID:12702686, PMID:12506004, PMID:12506003, PMID:12490551, PMID:12435629, PMID:12435628, PMID:12421709, PMID:12403716, PMID:12381666, PMID:12231619, PMID:12223408, PMID:12183378, PMID:12141426, PMID:12130542, PMID:12050111, PMID:11874919, 
    PMID:11839821, PMID:11782449, PMID:11748147, PMID:11743020, PMID:11731473, PMID:11684670, PMID:11598015, PMID:11585798, PMID:11532909, PMID:11493557, PMID:11493537, PMID:11426053, PMID:11290291, PMID:11290288, PMID:11262400, PMID:11171398, PMID:11171395, PMID:11171343, PMID:11118005, PMID:11090136, PMID:11076770, PMID:11003839, PMID:10976042, PMID:10976041, PMID:10952898, PMID:10949042, PMID:10906453, PMID:10862750, PMID:10862738, PMID:10860999, 
    PMID:10771469, PMID:10769242, PMID:10761849, PMID:10704398, PMID:10693758, PMID:10634584, PMID:10572054, PMID:10572045, PMID:10557210, PMID:10529426, PMID:10457013, PMID:10409512, PMID:10409506, PMID:10380187, PMID:10357933, PMID:10331974, PMID:10079222, PMID:10075933"
"en"	"Stat92E"	"7227.FBpp0087197"	"7227.FBpp0088489"	0	0	0	0	0	0	0	0	0	0	0	153	0	152	"PMID:9271118, PMID:8951062, PMID:8846897, PMID:8543159, PMID:24465586, PMID:24314314, PMID:24244188, PMID:24172544, PMID:24086746, PMID:24058562, PMID:23172856, PMID:23105012, PMID:22509132, PMID:22359651, PMID:21637778, PMID:19598118, PMID:19247941, PMID:19247935, PMID:18779571, PMID:18632691, PMID:18171682, PMID:18059420, PMID:17845077, PMID:17550911, PMID:17237346, PMID:17215298, PMID:16547170, PMID:16373601, PMID:15488148, PMID:15340490, 
    PMID:14993188, PMID:12502740, PMID:12466201, PMID:12101419, PMID:11731472, PMID:11290291, PMID:10681422, PMID:10226011"
"Hey"	"Stat92E"	"7227.FBpp0087945"	"7227.FBpp0088489"	0	0	0	0	0	0	0	0	68	0	0	159	78	214	"PMID:9071588, PMID:23078795, PMID:23049351, PMID:22947849, PMID:22829770, PMID:22673804, PMID:22298652, PMID:21742789, PMID:21124962, PMID:20855971, PMID:20668662, PMID:20530696, PMID:20061803, PMID:20029175, PMID:19890091, PMID:19816062, PMID:19737086, PMID:19342413, PMID:18724071, PMID:17308118, PMID:17237346, PMID:17167831, PMID:16968952, PMID:16354589, PMID:15082523, PMID:12655344, PMID:11290504, PMID:10529898, PMID:10233871"
"en"	"pan"	"7227.FBpp0087197"	"7227.FBpp0111569"	0	0	0	0	0	0	0	77	0	0	0	713	0	723	"PMID:9927605, PMID:9880534, PMID:9876186, PMID:9834184, PMID:9806921, PMID:9790494, PMID:9751710, PMID:9707400, PMID:9671490, PMID:9654016, PMID:9649506, PMID:9649497, PMID:9636083, PMID:9576934, PMID:9551858, PMID:9521915, PMID:9502727, PMID:9488439, PMID:9428420, PMID:9425166, PMID:9407023, PMID:9371792, PMID:9367428, PMID:9362473, PMID:9334276, PMID:9334267, PMID:9312140, PMID:9294210, PMID:9272961, PMID:9271433, PMID:9271118, 
    PMID:9217000, PMID:9187151, PMID:9155027, PMID:9118222, PMID:9043065, PMID:9015311, PMID:8895655, PMID:8847497, PMID:8722790, PMID:7565700, PMID:3049237, PMID:24832654, PMID:24827974, PMID:24684754, PMID:24625735, PMID:24385925, PMID:24314314, PMID:24303070, PMID:24244188, PMID:24204288, PMID:24192035, PMID:24098141, PMID:23981317, PMID:23940567, PMID:23935909, PMID:23894525, PMID:23773660, PMID:23359630, PMID:23297357, PMID:23230465, 
    PMID:23166712, PMID:23152144, PMID:23083465, PMID:22875928, PMID:22649582, PMID:22642687, PMID:22590521, PMID:22547580, PMID:22508985, PMID:22457346, PMID:22451044, PMID:22354967, PMID:22335560, PMID:22319573, PMID:22216300, PMID:22203956, PMID:22180728, PMID:22174073, PMID:22128170, PMID:22095083, PMID:22073317, PMID:21990430, PMID:21868604, PMID:21569278, PMID:21536646, PMID:21483653, PMID:21478472, PMID:21412441, PMID:21305035, PMID:21283785, 
    PMID:21245303, PMID:21083502, PMID:20979027, PMID:20709709, PMID:20660645, PMID:20516152, PMID:20403875, PMID:20385725, PMID:20368965, PMID:20360256, PMID:20203130, PMID:20181723, PMID:20107508, PMID:19906854, PMID:19846663, PMID:19837867, PMID:19814781, PMID:19762556, PMID:19700619, PMID:19657393, PMID:19605497, PMID:19593386, PMID:19572019, PMID:19460168, PMID:19412889, PMID:19393060, PMID:19364920, PMID:19247946, PMID:19149881, PMID:19036929, 
    PMID:19004858, PMID:18956323, PMID:18946197, PMID:18836256, PMID:18778483, PMID:18716610, PMID:18713067, PMID:18708652, PMID:18690791, PMID:18690062, PMID:18682750, PMID:18652670, PMID:18611861, PMID:18560570, PMID:18505824, PMID:18419806, PMID:18397993, PMID:18392879, PMID:18332117, PMID:18287521, PMID:18256194, PMID:18254933, PMID:18219274, PMID:18192190, PMID:18096705, PMID:18057103, PMID:18057099, PMID:18034187, PMID:17993466, PMID:17881490, 
    PMID:17615350, PMID:17611224, PMID:17595165, PMID:17584735, PMID:17507554, PMID:17507407, PMID:17466076, PMID:17438140, PMID:17426450, PMID:17410209, PMID:17392517, PMID:1723941, PMID:17237346, PMID:17234761, PMID:17206277, PMID:17183721, PMID:17060461, PMID:17060451, PMID:16953215, PMID:16951165, PMID:16942622, PMID:16933974, PMID:16892174, PMID:16882987, PMID:16854977, PMID:16790480, PMID:16672224, PMID:16571670, PMID:16481469, PMID:16479488, 
    PMID:16469971, PMID:16373601, PMID:16314497, PMID:16314428, PMID:16303851, PMID:16301527, PMID:16236771, PMID:16207754, PMID:16192307, PMID:16172986, PMID:16103232, PMID:15994955, PMID:15939417, PMID:15923623, PMID:15917450, PMID:15802274, PMID:15769943, PMID:15703843, PMID:15647321, PMID:15632069, PMID:15618219, PMID:15371453, PMID:15367683, PMID:15367661, PMID:15342477, PMID:15272387, PMID:15252443, PMID:15187083, PMID:15175250, PMID:15143183, 
    PMID:15142973, PMID:15142971, PMID:15140269, PMID:15128656, PMID:15121853, PMID:15020770, PMID:14988390, PMID:14701680, PMID:14612392, PMID:14522872, PMID:14506308, PMID:14504086, PMID:12930781, PMID:12835381, PMID:12810698, PMID:12783790, PMID:12777501, PMID:12756175, PMID:12736216, PMID:12712206, PMID:12705659, PMID:12589056, PMID:12584256, PMID:12505997, PMID:12490551, PMID:12466197, PMID:12455630, PMID:12421713, PMID:12403704, PMID:12399303, 
    PMID:12359720, PMID:12223398, PMID:12163411, PMID:12163405, PMID:12135920, PMID:12130542, PMID:12015286, PMID:12006483, PMID:11959819, PMID:11923210, PMID:11867525, PMID:11856745, PMID:11756536, PMID:11743020, PMID:11739261, PMID:11731472, PMID:11700324, PMID:11691830, PMID:11684656, PMID:11585804, PMID:11566860, PMID:11532957, PMID:11493532, PMID:11486032, PMID:11473107, PMID:11447280, PMID:11381089, PMID:11345525, PMID:11331306, PMID:11311166, 
    PMID:11311161, PMID:11291862, PMID:11291860, PMID:11290291, PMID:11283267, PMID:11274052, PMID:11266540, PMID:11262227, PMID:11238932, PMID:11238923, PMID:11238456, PMID:11171398, PMID:11171338, PMID:11159907, PMID:11159814, PMID:11134343, PMID:11124806, PMID:11118053, PMID:11080158, PMID:11080157, PMID:11076770, PMID:11076769, PMID:11058116, PMID:10982842, PMID:10973955, PMID:10949042, PMID:10910037, PMID:10903184, PMID:10884377, PMID:10837029, 
    PMID:10811620, PMID:10806215, PMID:10781055, PMID:10771469, PMID:10769207, PMID:10769039, PMID:10748198, PMID:10704398, PMID:10662781, PMID:10660609, PMID:10652276, PMID:10631185, PMID:10601025, PMID:10601008, PMID:10557206, PMID:10556068, PMID:10549354, PMID:10525541, PMID:10512857, PMID:10491393, PMID:10485845, PMID:10477304, PMID:10459019, PMID:10457026, PMID:10457019, PMID:10444600, PMID:10433905, PMID:10409512, PMID:10409499, PMID:10409497, 
    PMID:10357933, PMID:10331970, PMID:10221643, PMID:10205174, PMID:10204118, PMID:10075933, PMID:10068636"
"Hey"	"pan"	"7227.FBpp0087945"	"7227.FBpp0111569"	0	0	0	0	0	0	0	0	0	0	0	199	0	199	"PMID:9414287, PMID:9093854, PMID:4733089, PMID:24920608, PMID:24684754, PMID:24303070, PMID:24279347, PMID:23049351, PMID:23032367, PMID:22550422, PMID:22319573, PMID:22298652, PMID:22170617, PMID:21998564, PMID:21978399, PMID:21937884, PMID:21880181, PMID:21690374, PMID:21437251, PMID:21124962, PMID:20959618, PMID:20621955, PMID:20592489, PMID:20505318, PMID:19890091, PMID:19741146, PMID:19726620, PMID:19713546, PMID:19661464, PMID:19458225, 
    PMID:19186998, PMID:18714362, PMID:18609701, PMID:18039873, PMID:17615350, PMID:17585052, PMID:17511024, PMID:17237346, PMID:16601680, PMID:16554359, PMID:15837729, PMID:15252443, PMID:12597434, PMID:12072409"
"ci"	"pan"	"7227.FBpp0088245"	"7227.FBpp0111569"	0	0	0	0	0	343	0	0	91	0	0	530	150	729	"PMID:9990853, PMID:9990852, PMID:9876186, PMID:9858713, PMID:9742251, PMID:9732270, PMID:9655803, PMID:9613571, PMID:9502727, PMID:9407023, PMID:9043065, PMID:24904820, PMID:24385925, PMID:24260306, PMID:24244188, PMID:22871018, PMID:22649582, PMID:22634475, PMID:22619564, PMID:22457346, PMID:22383891, PMID:22359584, PMID:22198523, PMID:22110425, PMID:22095083, PMID:21931076, PMID:21868604, PMID:21757753, PMID:21754989, PMID:21710433, 
    PMID:21628596, PMID:21283785, PMID:20711988, PMID:20215420, PMID:20181957, PMID:20064212, PMID:19906854, PMID:19837867, PMID:19742310, PMID:19129218, PMID:18690062, PMID:18636085, PMID:18483144, PMID:18392879, PMID:18378682, PMID:18296651, PMID:18219274, PMID:18193033, PMID:18094078, PMID:17927810, PMID:17720693, PMID:17622616, PMID:17615393, PMID:17609501, PMID:17335573, PMID:17329570, PMID:17183721, PMID:16942622, PMID:16914490, PMID:16855389, 
    PMID:16601243, PMID:16508633, PMID:16489008, PMID:16484682, PMID:16481469, PMID:16456091, PMID:16258275, PMID:16085652, PMID:15982407, PMID:15917668, PMID:15855276, PMID:15728672, PMID:15342477, PMID:15294864, PMID:15256053, PMID:15175250, PMID:15143183, PMID:15128656, PMID:14973271, PMID:14966280, PMID:14722104, PMID:12925738, PMID:12794074, PMID:12730381, PMID:12668599, PMID:12551949, PMID:12490551, PMID:12354775, PMID:12138125, PMID:12130542, 
    PMID:12070081, PMID:12023297, PMID:11917093, PMID:11854460, PMID:11743020, PMID:11477086, PMID:11432817, PMID:11389839, PMID:11290291, PMID:11174844, PMID:11171398, PMID:11128568, PMID:11094082, PMID:11076770, PMID:10949042, PMID:10887150, PMID:10771469, PMID:10769232, PMID:10704398, PMID:10659782, PMID:10648382, PMID:10531441, PMID:10409512, PMID:10361251, PMID:10357933, PMID:10075933, PMID:10075848, PMID:10072378, PMID:10022978"
"Stat92E"	"pan"	"7227.FBpp0088489"	"7227.FBpp0111569"	0	0	0	0	0	102	0	0	70	0	0	393	0	448	"PMID:9271118, PMID:24786391, PMID:24767605, PMID:24710556, PMID:24314314, PMID:24244188, PMID:24023910, PMID:23056571, PMID:23056515, PMID:23049351, PMID:22822476, PMID:22701808, PMID:22298652, PMID:22253282, PMID:22130534, PMID:22076306, PMID:21967640, PMID:21754989, PMID:21454679, PMID:21412342, PMID:21264297, PMID:21203476, PMID:21124962, PMID:21049549, PMID:20805891, PMID:20711988, PMID:20159969, PMID:20126258, PMID:19890091, PMID:19828018, 
    PMID:19641625, PMID:19487454, PMID:19270177, PMID:19223336, PMID:19178699, PMID:19050320, PMID:18776931, PMID:18636085, PMID:18562626, PMID:18340337, PMID:18340113, PMID:17989227, PMID:17940184, PMID:17463395, PMID:17431004, PMID:17400807, PMID:17237346, PMID:17158707, PMID:17050569, PMID:16809766, PMID:16456091, PMID:16373601, PMID:16352598, PMID:16153187, PMID:16148010, PMID:15982407, PMID:15930281, PMID:15701923, PMID:15604211, PMID:15528356, 
    PMID:15479858, PMID:15448161, PMID:15269003, PMID:15192080, PMID:14981260, PMID:14500712, PMID:12960260, PMID:12960022, PMID:12904571, PMID:12716907, PMID:12556495, PMID:12055068, PMID:11943742, PMID:11731474, PMID:11731472, PMID:11504926, PMID:11290291, PMID:11032815, PMID:10861001, PMID:10570119"
"en"	"ovo"	"7227.FBpp0087197"	"7227.FBpp0291128"	0	0	0	0	0	0	0	0	0	0	0	493	0	493	"PMID:9843507, PMID:9649440, PMID:9584125, PMID:9502731, PMID:9367988, PMID:9367430, PMID:9271118, PMID:9155029, PMID:9108367, PMID:9106661, PMID:8985181, PMID:8674437, PMID:8608920, PMID:8543159, PMID:8307322, PMID:8288125, PMID:7916308, PMID:7635288, PMID:3256473, PMID:24915236, PMID:24832508, PMID:24520160, PMID:24314314, PMID:24068944, PMID:23105012, PMID:22870338, PMID:22654672, PMID:22102826, PMID:22073317, PMID:21305035, PMID:21245303, 
    PMID:2121596, PMID:21041443, PMID:20647470, PMID:20433734, PMID:20332154, PMID:18560570, PMID:18392876, PMID:18193037, PMID:18077590, PMID:17611224, PMID:17206277, PMID:17119022, PMID:17002517, PMID:16933974, PMID:16850038, PMID:16651542, PMID:16172986, PMID:15769943, PMID:15647318, PMID:15272387, PMID:15084467, PMID:14756330, PMID:14602684, PMID:14597661, PMID:14597574, PMID:12853478, PMID:12777501, PMID:12223399, PMID:12130542, PMID:12015286, 
    PMID:11743020, PMID:11359931, PMID:11245586, PMID:11124806, PMID:11076769, PMID:10837029, PMID:10811620, PMID:10652276, PMID:10648246, PMID:10572045, PMID:10556068, PMID:10359593, PMID:10220418, PMID:10205174, PMID:10101118, PMID:10022895"
"pan"	"ovo"	"7227.FBpp0111569"	"7227.FBpp0291128"	0	0	0	0	0	0	0	690	0	0	0	355	68	797	"PMID:9990853, PMID:9716412, PMID:9271118, PMID:24314314, PMID:23319585, PMID:22737237, PMID:22513088, PMID:22073317, PMID:21305035, PMID:21245303, PMID:20388731, PMID:19124571, PMID:18560570, PMID:18418383, PMID:17611224, PMID:17400807, PMID:17311813, PMID:17206277, PMID:16933974, PMID:16172986, PMID:16163385, PMID:15769943, PMID:15689371, PMID:15272387, PMID:14973271, PMID:12783785, PMID:12777501, PMID:12730381, PMID:12551949, PMID:12130542, 
    PMID:12015286, PMID:11841536, PMID:11743020, PMID:11717401, PMID:11258709, PMID:11226164, PMID:11124806, PMID:11076769, PMID:10837029, PMID:10811620, PMID:10652276, PMID:10556068, PMID:10421370, PMID:10205174"
